filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_1.npz,2,139.356184,2.068394,139.183566,2.333856,139.560293,0.466712,139.349347,0.262462
resampled_data_batch_2.npz,2,139.975959,0.241741,139.736500,0.308014,140.003065,0.224785,139.781068,0.285906
resampled_data_batch_3.npz,2,139.666146,0.209853,139.398719,0.277733,139.669720,0.206911,139.414341,0.286876
resampled_data_batch_4.npz,2,139.749151,0.275893,139.453065,0.349394,139.774153,0.274538,139.491047,0.354466
resampled_data_batch_5.npz,2,140.045212,0.156233,139.804624,0.205512,140.052243,0.155180,139.805398,0.198209
resampled_data_batch_6.npz,2,139.885113,0.198627,139.638192,0.256695,139.881016,0.216699,139.634649,0.275970
resampled_data_batch_7.npz,2,139.878234,0.219930,139.624340,0.276761,139.871122,0.209325,139.612177,0.258999
resampled_data_batch_8.npz,2,139.756930,0.275530,139.509684,0.325261,139.755708,0.280032,139.507418,0.324569
resampled_data_batch_9.npz,2,140.075062,0.189029,139.849340,0.240035,140.067594,0.196489,139.846947,0.247037
resampled_data_batch_10.npz,2,139.844041,0.218102,139.606615,0.292562,139.819634,0.224192,139.572513,0.281050
resampled_data_batch_11.npz,2,139.792063,0.749702,139.494560,1.017149,139.889795,0.417068,139.595851,0.327643
resampled_data_batch_12.npz,2,139.403111,1.640625,139.292234,0.939255,139.559336,0.718460,139.427039,0.319056
resampled_data_batch_13.npz,2,139.131756,1.880893,138.798911,2.098466,139.437728,0.482293,139.117198,0.322610
resampled_data_batch_14.npz,2,138.460077,1.717043,138.274752,1.956548,138.420374,0.311697,138.137920,0.309468
resampled_data_batch_15.npz,2,131.905244,0.827057,131.650196,1.461766,131.975544,0.403675,131.754763,0.388134
resampled_data_batch_16.npz,2,112.813842,1.000544,112.593569,0.850530,112.851701,0.734610,112.654074,0.678881
resampled_data_batch_17.npz,2,86.734647,1.037994,86.443576,1.321967,86.672614,0.716032,86.465490,0.719678
resampled_data_batch_18.npz,2,72.075039,0.278139,71.881753,0.366495,72.104942,0.332004,71.962095,0.257034
resampled_data_batch_19.npz,2,75.731501,0.483640,75.574428,0.511581,75.838987,0.433701,75.655905,0.465086
resampled_data_batch_20.npz,2,96.664082,1.038893,96.470504,1.033896,96.602816,1.021777,96.443823,1.030485
resampled_data_batch_21.npz,2,122.815158,0.848028,122.632075,0.843671,122.826384,0.863911,122.622900,0.857997
resampled_data_batch_22.npz,2,136.103493,0.360079,135.889346,0.393520,136.107634,0.374615,135.879124,0.396887
resampled_data_batch_23.npz,2,139.201260,0.247757,138.995409,0.311194,139.170556,0.244072,138.952464,0.300173
resampled_data_batch_24.npz,2,139.496493,0.258889,139.289760,0.320752,139.490277,0.260325,139.289592,0.327962
resampled_data_batch_25.npz,2,139.550182,1.253095,139.381095,1.441014,139.583653,0.420364,139.336098,0.332571
resampled_data_batch_26.npz,2,139.725500,0.400465,139.502671,0.394956,139.705811,0.382663,139.477607,0.360893
resampled_data_batch_27.npz,2,139.609766,0.254782,139.389043,0.302354,139.617990,0.251831,139.377722,0.295852
resampled_data_batch_28.npz,2,139.743965,0.258810,139.544302,0.314708,139.720298,0.263070,139.534541,0.305795
resampled_data_batch_29.npz,2,139.752966,0.238611,139.554634,0.279099,139.734515,0.241638,139.537472,0.265172
resampled_data_batch_30.npz,2,139.798494,1.120376,139.562768,1.002614,139.652306,0.366260,139.467697,0.336356
resampled_data_batch_31.npz,2,139.594236,0.738560,139.362126,1.091419,139.661949,0.286413,139.477390,0.353110
resampled_data_batch_32.npz,2,139.693401,0.267206,139.498205,0.325378,139.710707,0.271021,139.516944,0.330343
resampled_data_batch_33.npz,2,139.705708,0.224545,139.496395,0.274670,139.717290,0.214776,139.506152,0.259746
resampled_data_batch_34.npz,2,139.725674,0.641324,139.545624,0.916629,139.696286,0.408046,139.472883,0.324960
resampled_data_batch_35.npz,2,139.629817,0.285448,139.424358,0.339115,139.637162,0.292037,139.445694,0.348951
resampled_data_batch_36.npz,2,139.597136,0.254872,139.391643,0.315868,139.632887,0.266556,139.432809,0.332570
resampled_data_batch_37.npz,2,139.628082,1.021312,139.393836,1.030197,139.624922,0.583198,139.421281,0.342346
resampled_data_batch_38.npz,2,139.420944,0.968854,139.261614,0.914969,139.524353,0.292489,139.382813,0.351816
resampled_data_batch_39.npz,2,139.492592,0.259285,139.283566,0.306379,139.487476,0.252635,139.299978,0.293953
resampled_data_batch_40.npz,2,139.463759,1.355676,139.174639,1.611158,139.431318,0.358670,139.194622,0.370089
resampled_data_batch_41.npz,2,139.381137,0.541034,139.155886,0.371810,139.306458,0.348474,139.095584,0.338617
resampled_data_batch_42.npz,2,139.253901,0.280424,139.051549,0.323065,139.234219,0.275110,139.027873,0.318996
resampled_data_batch_43.npz,2,139.225607,1.014533,139.071793,1.298772,139.174998,0.489049,138.980445,0.330118
resampled_data_batch_44.npz,2,138.889649,0.346641,138.687009,0.330932,138.859691,0.288658,138.654657,0.329173
resampled_data_batch_45.npz,2,138.656341,0.261053,138.467588,0.306454,138.640163,0.260960,138.436537,0.311886
resampled_data_batch_46.npz,2,138.000140,0.497516,137.773822,0.809435,138.024017,0.266417,137.867319,0.298928
resampled_data_batch_47.npz,2,136.018149,0.360218,135.810319,0.393370,135.964657,0.355654,135.728431,0.378456
resampled_data_batch_48.npz,2,121.852114,1.993847,121.686873,1.965911,122.068288,2.028643,121.896343,1.989282
resampled_data_batch_49.npz,2,69.019970,3.739483,68.873551,3.758863,68.971393,3.265512,69.023423,3.312427
resampled_data_batch_54.npz,2,66.211296,3.812599,66.051106,3.824772,68.292280,1.967633,68.143417,1.944003
resampled_data_batch_55.npz,2,120.805226,2.471905,120.591024,2.425281,120.829898,2.293912,120.554298,2.369570
resampled_data_batch_56.npz,2,136.032529,0.402798,135.850432,0.466451,136.006747,0.388411,135.783186,0.412867
resampled_data_batch_57.npz,2,138.067934,0.259071,137.870815,0.311685,138.065916,0.261984,137.872067,0.326432
resampled_data_batch_58.npz,2,138.637420,0.326188,138.436936,0.341470,138.639699,0.334357,138.427014,0.334437
resampled_data_batch_59.npz,2,139.000534,0.237651,138.797545,0.298460,139.004949,0.261733,138.792671,0.324807
resampled_data_batch_60.npz,2,139.261850,0.928518,138.987082,0.540222,139.157358,0.301324,138.955775,0.359762
resampled_data_batch_61.npz,2,139.358005,0.274274,139.184919,0.329054,139.364931,0.272391,139.225313,0.304586
resampled_data_batch_62.npz,2,139.442593,0.960236,139.226052,0.520421,139.444222,0.284682,139.228863,0.320990
resampled_data_batch_63.npz,2,139.460926,0.505003,139.273663,0.589942,139.523641,0.260628,139.350065,0.338894
resampled_data_batch_64.npz,2,139.600404,1.070283,139.415083,1.187321,139.502959,0.392796,139.303935,0.322522
resampled_data_batch_65.npz,2,139.571813,0.267324,139.368155,0.311626,139.561114,0.267815,139.353425,0.305403
resampled_data_batch_66.npz,2,139.627299,0.567892,139.447714,0.745801,139.627024,0.498943,139.409049,0.306992
resampled_data_batch_67.npz,2,139.592111,1.023659,139.401892,1.014207,139.702480,0.299748,139.511262,0.347958
resampled_data_batch_68.npz,2,139.676348,0.433415,139.547668,1.294342,139.644900,0.240342,139.447148,0.306600
resampled_data_batch_69.npz,2,139.683124,0.300146,139.511734,0.349521,139.696311,0.290622,139.532167,0.331556
resampled_data_batch_70.npz,2,139.738693,0.228718,139.547025,0.292921,139.750238,0.230515,139.576029,0.301472
resampled_data_batch_71.npz,2,139.717464,0.476702,139.534482,0.610215,139.669396,0.303338,139.492472,0.324442
resampled_data_batch_72.npz,2,139.743651,0.281665,139.551822,0.355656,139.750861,0.282120,139.575619,0.347824
resampled_data_batch_73.npz,2,139.649423,0.985825,139.378552,1.676331,139.740991,0.233762,139.534058,0.284908
resampled_data_batch_74.npz,2,139.760179,0.271409,139.565079,0.335165,139.754440,0.243539,139.570998,0.299145
resampled_data_batch_75.npz,2,139.692306,0.651999,139.526849,0.529781,139.704444,0.400731,139.547459,0.340487
resampled_data_batch_76.npz,2,139.737059,0.239266,139.541266,0.298893,139.716607,0.229847,139.522348,0.304135
resampled_data_batch_77.npz,2,139.666700,0.977725,139.501680,0.932281,139.815886,0.391458,139.631022,0.308786
resampled_data_batch_78.npz,2,139.775125,0.240798,139.580721,0.310991,139.797665,0.207109,139.600778,0.272104
resampled_data_batch_79.npz,2,139.815440,0.861159,139.628412,0.610661,139.786304,0.259155,139.580626,0.305154
resampled_data_batch_80.npz,2,139.841980,0.515360,139.622703,0.505643,139.797507,0.283180,139.567096,0.336678
resampled_data_batch_81.npz,2,139.864334,0.515317,139.637388,0.338773,139.837243,0.268038,139.649975,0.316867
resampled_data_batch_82.npz,2,139.810298,0.593164,139.648583,0.316446,139.753134,0.781193,139.646392,0.281153
resampled_data_batch_83.npz,2,139.892361,1.048883,139.710021,1.378376,139.826046,0.268716,139.640829,0.303458
resampled_data_batch_84.npz,2,139.717046,0.716025,139.496524,0.779796,139.765177,0.267346,139.562669,0.300119
resampled_data_batch_85.npz,2,139.788270,0.601274,139.635925,1.112688,139.768600,0.215474,139.549228,0.276349
resampled_data_batch_86.npz,2,139.694960,0.260108,139.499603,0.309316,139.696110,0.266544,139.495369,0.313505
resampled_data_batch_87.npz,2,139.695401,0.751979,139.549294,0.622156,139.703174,0.228819,139.502403,0.259124
resampled_data_batch_88.npz,2,139.814638,0.484078,139.672336,0.872927,139.778571,0.231138,139.591144,0.280008
resampled_data_batch_89.npz,2,139.881430,0.615807,139.694243,0.824216,139.835150,0.264037,139.611725,0.300955
