method,num_signals,average_tau_std
WLS,10,0.379840
WLS,20,0.463382
WLS,30,0.511878
WLS,40,0.534912
WLS,50,0.534487
WLS,60,0.576501
WLS,70,0.575906
WLS,80,0.627762
WLS,90,0.624545
WLS,100,0.647201
WLS,110,0.664944
WLS,120,0.673679
WLS,130,0.677662
WLS,140,0.688950
WLS,150,0.694031
OLS,10,0.452643
OLS,20,0.558840
OLS,30,0.599579
OLS,40,0.618503
OLS,50,0.603260
OLS,60,0.637603
OLS,70,0.636473
OLS,80,0.687255
OLS,90,0.681531
OLS,100,0.697879
OLS,110,0.727556
OLS,120,0.735490
OLS,130,0.733495
OLS,140,0.746423
OLS,150,0.760694
WLS_QC,10,0.201802
WLS_QC,20,0.256176
WLS_QC,30,0.292832
WLS_QC,40,0.307977
WLS_QC,50,0.318826
WLS_QC,60,0.334276
WLS_QC,70,0.352541
WLS_QC,80,0.360805
WLS_QC,90,0.363309
WLS_QC,100,0.374212
WLS_QC,110,0.378078
WLS_QC,120,0.389187
WLS_QC,130,0.394900
WLS_QC,140,0.405978
WLS_QC,150,0.414472
OLS_QC,10,0.228783
OLS_QC,20,0.285443
OLS_QC,30,0.315536
OLS_QC,40,0.330915
OLS_QC,50,0.344544
OLS_QC,60,0.355188
OLS_QC,70,0.367443
OLS_QC,80,0.376123
OLS_QC,90,0.382758
OLS_QC,100,0.387930
OLS_QC,110,0.391933
OLS_QC,120,0.400945
OLS_QC,130,0.407403
OLS_QC,140,0.413260
OLS_QC,150,0.420481
