filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_1.npz,2,142.573468,0.207174,142.381158,0.274753,142.561730,0.204065,142.365222,0.267484
resampled_data_batch_2.npz,2,142.723426,0.142627,142.538506,0.206223,142.722325,0.150024,142.540535,0.207364
resampled_data_batch_3.npz,2,142.679422,0.151405,142.477942,0.233156,142.693511,0.154323,142.504468,0.237036
resampled_data_batch_4.npz,2,142.584043,0.204879,142.354835,0.269407,142.600943,0.203754,142.384072,0.268620
resampled_data_batch_5.npz,2,142.626537,0.155491,142.403178,0.206012,142.622242,0.147006,142.393469,0.191414
resampled_data_batch_6.npz,2,142.535395,0.180561,142.333589,0.259478,142.511842,0.177950,142.289694,0.252811
resampled_data_batch_7.npz,2,142.673624,0.140508,142.478624,0.212150,142.683472,0.138303,142.487651,0.205550
resampled_data_batch_8.npz,2,142.506119,0.211693,142.322536,0.288846,142.514708,0.209652,142.337885,0.272547
resampled_data_batch_9.npz,2,142.554285,0.839522,142.432465,1.524873,142.416787,0.211542,142.234454,0.279884
resampled_data_batch_10.npz,2,142.509328,1.306447,142.131469,1.973496,142.563670,0.278291,142.340551,0.239043
resampled_data_batch_11.npz,2,142.632380,0.168565,142.423215,0.220385,142.632710,0.158249,142.408940,0.221676
resampled_data_batch_12.npz,2,142.690922,0.154792,142.524828,0.214356,142.691234,0.163984,142.529000,0.236751
resampled_data_batch_13.npz,2,142.574607,0.181582,142.374678,0.252671,142.565651,0.194617,142.367665,0.259600
resampled_data_batch_14.npz,2,142.574346,0.238346,142.365810,0.293494,142.549238,0.228125,142.325884,0.293766
resampled_data_batch_15.npz,2,142.635377,0.174070,142.466946,0.251367,142.652629,0.182883,142.497642,0.265644
resampled_data_batch_16.npz,2,142.471992,0.176052,142.266299,0.258982,142.467377,0.184834,142.250206,0.260232
resampled_data_batch_17.npz,2,142.558718,0.198093,142.359193,0.269565,142.558664,0.196964,142.354599,0.260185
resampled_data_batch_18.npz,2,142.609825,0.202679,142.417261,0.284988,142.608478,0.206225,142.424549,0.285363
resampled_data_batch_19.npz,2,142.602009,0.188638,142.411201,0.257741,142.598427,0.181117,142.403441,0.247166
resampled_data_batch_20.npz,2,142.646788,0.184510,142.434039,0.240035,142.633335,0.191381,142.413410,0.256620
resampled_data_batch_21.npz,2,142.710489,0.175190,142.508291,0.248107,142.704332,0.170698,142.500411,0.250492
resampled_data_batch_22.npz,2,142.561392,1.277859,142.391914,1.100874,142.687857,0.231164,142.495823,0.264206
resampled_data_batch_23.npz,2,142.495979,0.960723,142.358390,1.074673,142.562294,0.225106,142.362424,0.299755
resampled_data_batch_24.npz,2,142.519892,0.254498,142.333274,0.300585,142.498813,0.276168,142.317510,0.308947
resampled_data_batch_25.npz,2,142.581287,0.187073,142.390090,0.252213,142.598961,0.194471,142.417623,0.249246
resampled_data_batch_26.npz,2,142.630461,0.187862,142.442173,0.263583,142.610377,0.170212,142.432363,0.252592
resampled_data_batch_27.npz,2,142.612862,0.213433,142.420965,0.286657,142.610670,0.215174,142.414724,0.306747
resampled_data_batch_28.npz,2,142.589056,0.158497,142.381323,0.209338,142.576908,0.153898,142.361389,0.190356
resampled_data_batch_29.npz,2,142.601598,0.520141,142.379642,0.355535,142.620984,0.299044,142.407613,0.252301
resampled_data_batch_30.npz,2,142.578134,0.368120,142.373738,0.458091,142.575008,0.211913,142.365985,0.286550
resampled_data_batch_31.npz,2,142.587016,0.181038,142.397990,0.253414,142.578046,0.183683,142.392512,0.247203
resampled_data_batch_32.npz,2,142.611978,0.199509,142.414123,0.290496,142.601170,0.216587,142.408882,0.295427
resampled_data_batch_33.npz,2,142.704094,0.430285,142.483957,0.290712,142.705905,0.396284,142.470624,0.231350
resampled_data_batch_34.npz,2,142.597837,0.570331,142.374943,0.399317,142.563512,0.274742,142.374205,0.327859
resampled_data_batch_35.npz,2,142.570888,0.185969,142.378208,0.257942,142.546001,0.197008,142.341877,0.281908
resampled_data_batch_36.npz,2,142.511032,0.201494,142.313123,0.268666,142.513826,0.168622,142.323971,0.234978
resampled_data_batch_37.npz,2,142.709824,1.253802,142.576105,1.543921,142.679872,0.674546,142.387851,0.274467
resampled_data_batch_38.npz,2,142.629750,0.786850,142.393213,0.476208,142.600992,0.241214,142.366247,0.288993
resampled_data_batch_39.npz,2,142.594646,0.196248,142.380234,0.277155,142.592129,0.191664,142.380229,0.266710
resampled_data_batch_40.npz,2,142.566017,0.923756,142.367036,0.758252,142.611646,0.321532,142.409671,0.269946
resampled_data_batch_41.npz,2,142.580405,0.585462,142.399388,0.382784,142.524775,0.659689,142.407675,0.275678
resampled_data_batch_42.npz,2,142.627271,0.179416,142.428352,0.254124,142.646309,0.177286,142.448717,0.246351
resampled_data_batch_43.npz,2,142.677863,0.362931,142.498026,0.622898,142.656079,0.278647,142.459480,0.263030
resampled_data_batch_44.npz,2,142.565349,1.270179,142.365758,1.194515,142.699424,0.302308,142.485704,0.280565
resampled_data_batch_45.npz,2,142.608868,0.208050,142.412884,0.276371,142.622810,0.220405,142.428591,0.288959
resampled_data_batch_46.npz,2,142.509066,0.811966,142.294830,0.907839,142.550862,0.394227,142.378450,0.252908
resampled_data_batch_47.npz,2,142.341593,0.358713,142.168160,0.336079,142.317526,0.272905,142.164847,0.273085
resampled_data_batch_48.npz,2,140.540275,0.283585,140.332642,0.331620,140.531595,0.308513,140.306566,0.353309
resampled_data_batch_49.npz,2,135.053310,1.221235,134.893386,0.887431,135.086634,0.497918,134.884562,0.520106
resampled_data_batch_54.npz,2,142.280418,1.808548,142.038609,2.153508,142.468533,0.359127,142.220613,0.309600
resampled_data_batch_55.npz,2,142.623495,0.226302,142.437748,0.283903,142.621135,0.212919,142.434244,0.274905
resampled_data_batch_56.npz,2,142.680389,0.542139,142.518246,0.724688,142.641008,0.206539,142.434855,0.255646
resampled_data_batch_57.npz,2,142.707233,0.753614,142.572212,1.592260,142.643215,0.222684,142.432156,0.277976
resampled_data_batch_58.npz,2,142.712972,0.176789,142.510744,0.234774,142.709975,0.163168,142.506882,0.236794
resampled_data_batch_59.npz,2,142.675303,0.584526,142.425717,0.358890,142.642397,0.192280,142.424849,0.254102
resampled_data_batch_60.npz,2,142.704583,0.172196,142.499934,0.245279,142.678370,0.150404,142.461340,0.225979
resampled_data_batch_61.npz,2,142.716989,0.520899,142.504669,0.633730,142.671891,0.197383,142.467537,0.258155
resampled_data_batch_62.npz,2,142.737073,0.199046,142.532246,0.285892,142.729742,0.215354,142.534048,0.305825
resampled_data_batch_63.npz,2,142.643896,0.709333,142.452770,0.371893,142.718522,0.273953,142.486933,0.247242
resampled_data_batch_64.npz,2,142.734516,0.210086,142.533653,0.267202,142.722490,0.226653,142.522300,0.288133
resampled_data_batch_65.npz,2,142.774086,0.878066,142.532699,0.985846,142.687441,0.313090,142.433457,0.296339
resampled_data_batch_66.npz,2,142.694294,0.168517,142.504354,0.253210,142.690543,0.174500,142.507200,0.255476
resampled_data_batch_67.npz,2,142.727856,0.476089,142.536126,0.689020,142.703420,0.232722,142.500367,0.309089
resampled_data_batch_68.npz,2,142.714613,0.426832,142.507004,0.600522,142.757161,0.189434,142.560970,0.262417
resampled_data_batch_69.npz,2,142.701244,0.958456,142.473575,0.678782,142.743960,0.272835,142.515615,0.218039
resampled_data_batch_70.npz,2,142.689233,0.208770,142.447956,0.283654,142.687778,0.208057,142.445137,0.283207
resampled_data_batch_71.npz,2,142.741406,0.428116,142.529921,0.370927,142.723268,0.284758,142.534807,0.295100
resampled_data_batch_72.npz,2,142.744712,0.199105,142.551430,0.252361,142.740519,0.173410,142.543667,0.233298
resampled_data_batch_73.npz,2,142.655185,0.636401,142.445413,0.945387,142.737836,0.172677,142.516190,0.223070
resampled_data_batch_74.npz,2,142.708867,0.219792,142.520401,0.263978,142.684364,0.236278,142.502402,0.276856
resampled_data_batch_75.npz,2,142.682567,1.043598,142.502999,0.662972,142.739359,0.438081,142.533731,0.255027
resampled_data_batch_76.npz,2,142.726544,0.217483,142.520913,0.274426,142.719222,0.211519,142.520437,0.276814
resampled_data_batch_77.npz,2,142.748028,0.809020,142.545160,0.574531,142.715606,0.179668,142.526770,0.254162
resampled_data_batch_78.npz,2,142.727922,0.216889,142.540828,0.288732,142.714982,0.229873,142.507746,0.307890
resampled_data_batch_79.npz,2,142.830040,1.285913,142.684212,1.488860,142.768101,0.220176,142.583226,0.219415
resampled_data_batch_80.npz,2,142.740044,0.188783,142.527652,0.278375,142.751294,0.188664,142.529190,0.282876
resampled_data_batch_81.npz,2,142.745513,0.605627,142.524012,0.392876,142.744123,0.164475,142.548664,0.244414
resampled_data_batch_82.npz,2,142.756847,0.196383,142.563251,0.259648,142.731619,0.187717,142.529241,0.245037
resampled_data_batch_83.npz,2,142.790456,1.018912,142.622609,1.334516,142.706704,0.212777,142.518372,0.269495
resampled_data_batch_84.npz,2,142.739802,0.179257,142.524256,0.255609,142.736369,0.161030,142.528046,0.227073
resampled_data_batch_85.npz,2,142.737630,0.325077,142.547945,0.311998,142.764031,0.210032,142.564958,0.238939
resampled_data_batch_86.npz,2,142.866437,0.960919,142.751413,1.847826,142.801102,0.190229,142.610611,0.248636
resampled_data_batch_87.npz,2,142.724355,0.224704,142.517214,0.283615,142.719280,0.222523,142.522998,0.289078
resampled_data_batch_88.npz,2,142.770576,0.800700,142.557126,0.604573,142.802100,0.460203,142.551132,0.249514
resampled_data_batch_89.npz,2,142.727775,1.160684,142.584864,0.870279,142.782157,0.209373,142.600566,0.286332
resampled_data_batch_90.npz,2,142.804669,0.530069,142.621043,0.942464,142.784782,0.306998,142.539728,0.249417
resampled_data_batch_91.npz,2,142.721916,0.204905,142.546531,0.279048,142.715877,0.202635,142.525984,0.278023
resampled_data_batch_92.npz,2,142.631265,1.037678,142.466072,1.520944,142.515433,0.219047,142.311096,0.293189
resampled_data_batch_93.npz,2,141.833163,0.216964,141.652741,0.283835,141.820881,0.227781,141.646862,0.295404
resampled_data_batch_94.npz,2,140.847002,0.435540,140.667709,0.576246,140.817646,0.181784,140.634821,0.245960
resampled_data_batch_95.npz,2,140.889471,0.449407,140.687973,0.308283,140.877436,0.178284,140.676396,0.248916
resampled_data_batch_96.npz,2,141.937374,0.208565,141.739336,0.274463,141.923379,0.208081,141.708066,0.276359
resampled_data_batch_97.npz,2,142.608981,0.194255,142.403282,0.265224,142.597249,0.187165,142.406359,0.251761
resampled_data_batch_98.npz,2,142.750827,0.658469,142.587160,0.333418,142.788047,0.210110,142.562629,0.263941
resampled_data_batch_99.npz,2,142.824044,0.328910,142.618793,0.266858,142.849771,0.405151,142.646230,0.301531
resampled_data_batch_100.npz,2,142.669771,1.110704,142.461443,1.103841,142.771154,0.221140,142.551458,0.313904
resampled_data_batch_101.npz,2,142.774301,0.768993,142.571791,0.652064,142.798264,0.176599,142.600301,0.248740
resampled_data_batch_1.npz,3,142.581623,0.207436,142.389852,0.274918,142.560441,0.213196,142.364020,0.275005
resampled_data_batch_2.npz,3,142.731327,0.142882,142.546500,0.206508,142.732558,0.146922,142.540381,0.211649
resampled_data_batch_3.npz,3,142.687070,0.151471,142.486069,0.233065,142.696461,0.157150,142.516347,0.233090
resampled_data_batch_4.npz,3,142.591908,0.204650,142.362907,0.269131,142.614262,0.198532,142.389537,0.264649
resampled_data_batch_5.npz,3,142.634897,0.155883,142.411612,0.206411,142.634170,0.151282,142.409983,0.193527
resampled_data_batch_6.npz,3,142.543563,0.180128,142.341720,0.259390,142.521001,0.178206,142.287109,0.255069
resampled_data_batch_7.npz,3,142.681578,0.140386,142.486949,0.212240,142.692978,0.139046,142.494668,0.207394
resampled_data_batch_8.npz,3,142.513915,0.211257,142.330670,0.288590,142.520825,0.210840,142.336991,0.274255
resampled_data_batch_9.npz,3,142.562504,0.839555,142.440927,1.525498,142.428905,0.208503,142.249386,0.284068
