method,num_signals,average_tau_std
WLS,10,0.323517
WLS,20,0.348469
WLS,30,0.405521
WLS,40,0.397155
WLS,50,0.406171
WLS,60,0.412316
WLS,70,0.417843
WLS,80,0.426581
WLS,90,0.451932
WLS,100,0.437808
WLS,110,0.439658
WLS,120,0.452897
WLS,130,0.448089
WLS,140,0.470297
WLS,150,0.472931
OLS,10,0.353421
OLS,20,0.361851
OLS,30,0.456548
OLS,40,0.457815
OLS,50,0.476969
OLS,60,0.483691
OLS,70,0.484989
OLS,80,0.487202
OLS,90,0.513268
OLS,100,0.497471
OLS,110,0.492551
OLS,120,0.502677
OLS,130,0.497736
OLS,140,0.527662
OLS,150,0.529331
WLS_QC,10,0.163255
WLS_QC,20,0.183081
WLS_QC,30,0.202090
WLS_QC,40,0.204983
WLS_QC,50,0.206185
WLS_QC,60,0.208790
WLS_QC,70,0.212199
WLS_QC,80,0.214430
WLS_QC,90,0.219682
WLS_QC,100,0.218149
WLS_QC,110,0.220357
WLS_QC,120,0.222628
WLS_QC,130,0.228115
WLS_QC,140,0.231926
WLS_QC,150,0.233169
OLS_QC,10,0.221058
OLS_QC,20,0.233992
OLS_QC,30,0.241367
OLS_QC,40,0.248751
OLS_QC,50,0.251713
OLS_QC,60,0.257476
OLS_QC,70,0.257278
OLS_QC,80,0.260141
OLS_QC,90,0.261568
OLS_QC,100,0.261520
OLS_QC,110,0.263643
OLS_QC,120,0.265857
OLS_QC,130,0.266411
OLS_QC,140,0.268843
OLS_QC,150,0.270594
