method,num_signals,average_tau_std
WLS,10,0.279485
WLS,20,0.347229
WLS,30,0.333321
WLS,40,0.356101
WLS,50,0.342337
WLS,60,0.355198
WLS,70,0.395194
WLS,80,0.425337
WLS,90,0.439152
WLS,100,0.438060
WLS,110,0.454299
WLS,120,0.472375
WLS,130,0.468208
WLS,140,0.462073
WLS,150,0.472931
OLS,10,0.359148
OLS,20,0.390426
OLS,30,0.366946
OLS,40,0.377997
OLS,50,0.367579
OLS,60,0.380480
OLS,70,0.426134
OLS,80,0.448604
OLS,90,0.467378
OLS,100,0.482769
OLS,110,0.501241
OLS,120,0.524483
OLS,130,0.517289
OLS,140,0.515085
OLS,150,0.529331
WLS_QC,10,0.161897
WLS_QC,20,0.204570
WLS_QC,30,0.208165
WLS_QC,40,0.214863
WLS_QC,50,0.213536
WLS_QC,60,0.213511
WLS_QC,70,0.213659
WLS_QC,80,0.215794
WLS_QC,90,0.226786
WLS_QC,100,0.225821
WLS_QC,110,0.228633
WLS_QC,120,0.230673
WLS_QC,130,0.230029
WLS_QC,140,0.230788
WLS_QC,150,0.233169
OLS_QC,10,0.221964
OLS_QC,20,0.243733
OLS_QC,30,0.249888
OLS_QC,40,0.256666
OLS_QC,50,0.258224
OLS_QC,60,0.261027
OLS_QC,70,0.262295
OLS_QC,80,0.265098
OLS_QC,90,0.265760
OLS_QC,100,0.266619
OLS_QC,110,0.268454
OLS_QC,120,0.268729
OLS_QC,130,0.269243
OLS_QC,140,0.270032
OLS_QC,150,0.270594
