filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_1.npz,150,150,64,86,0,0.020652,0.020690,0.000289,0.000581,1.449085,1.435765,0.028414,0.053928,0.003334,0.003815,0.000093,0.001735,139.339956,139.173926,0.267198,2.372826
processed_data_batch_2.npz,150,150,79,71,0,0.019522,0.019599,0.000495,0.000520,1.448883,1.446199,0.031415,0.037339,0.003283,0.003285,0.000058,0.000059,139.769857,139.725565,0.291675,0.313335
processed_data_batch_3.npz,150,150,89,61,0,0.018721,0.018729,0.000112,0.000106,1.453662,1.457376,0.030544,0.028372,0.003282,0.003284,0.000065,0.000064,139.397443,139.386027,0.292145,0.283197
processed_data_batch_4.npz,150,150,93,57,0,0.018600,0.018603,0.000095,0.000095,1.449842,1.448718,0.030136,0.033139,0.003280,0.003282,0.000059,0.000059,139.463919,139.438728,0.370094,0.356711
processed_data_batch_5.npz,150,150,85,65,0,0.018649,0.018645,0.000093,0.000093,1.419669,1.421997,0.069871,0.066481,0.003262,0.003270,0.000059,0.000064,139.794001,139.792396,0.202648,0.209254
processed_data_batch_6.npz,150,150,89,61,0,0.018773,0.018767,0.000084,0.000090,1.443603,1.443115,0.040393,0.039498,0.003292,0.003287,0.000062,0.000058,139.623456,139.627864,0.281587,0.262458
processed_data_batch_7.npz,150,150,83,67,0,0.018800,0.018796,0.000079,0.000080,1.449286,1.445459,0.027411,0.034440,0.003298,0.003282,0.000057,0.000061,139.600878,139.612444,0.265446,0.281556
processed_data_batch_8.npz,150,150,83,67,0,0.018825,0.018825,0.000100,0.000097,1.455916,1.455205,0.027209,0.028061,0.003291,0.003287,0.000056,0.000058,139.495455,139.497675,0.331788,0.328849
processed_data_batch_9.npz,150,150,91,59,0,0.018766,0.018767,0.000099,0.000090,1.442548,1.442353,0.039617,0.039555,0.003299,0.003296,0.000058,0.000060,139.838897,139.839434,0.250849,0.243806
processed_data_batch_10.npz,150,150,83,67,0,0.018848,0.018841,0.000104,0.000104,1.445419,1.438196,0.035499,0.041380,0.003284,0.003282,0.000064,0.000062,139.565733,139.595067,0.290483,0.298391
