filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_1.npz,150,150,66,84,0,0.020245,0.020305,0.000178,0.000225,1.448356,1.435355,0.028392,0.055675,0.003339,0.003863,0.000155,0.001874,139.548983,139.337314,0.464064,2.090745
processed_data_batch_2.npz,150,150,81,69,0,0.019102,0.019167,0.000499,0.000518,1.447397,1.445518,0.035548,0.037373,0.003266,0.003270,0.000057,0.000058,139.997084,139.958327,0.226477,0.242136
processed_data_batch_3.npz,150,150,90,60,0,0.018269,0.018273,0.000096,0.000088,1.453325,1.456552,0.030764,0.028399,0.003269,0.003272,0.000064,0.000065,139.645692,139.644505,0.208589,0.212175
processed_data_batch_4.npz,150,150,94,56,0,0.018135,0.018135,0.000075,0.000076,1.448851,1.447755,0.029803,0.033242,0.003271,0.003272,0.000060,0.000059,139.740186,139.723037,0.276438,0.281008
processed_data_batch_5.npz,150,150,89,61,0,0.018200,0.018200,0.000079,0.000082,1.418595,1.421424,0.068418,0.066527,0.003249,0.003255,0.000059,0.000063,140.025371,140.019860,0.152356,0.158242
processed_data_batch_6.npz,150,150,91,59,0,0.018321,0.018319,0.000074,0.000073,1.444133,1.442417,0.040131,0.039434,0.003280,0.003274,0.000060,0.000058,139.870072,139.867922,0.219019,0.202078
processed_data_batch_7.npz,150,150,85,65,0,0.018347,0.018345,0.000075,0.000070,1.447816,1.444725,0.027922,0.034391,0.003283,0.003269,0.000057,0.000062,139.853577,139.858320,0.210197,0.220461
processed_data_batch_8.npz,150,150,81,69,0,0.018381,0.018380,0.000079,0.000081,1.455046,1.454512,0.026441,0.028045,0.003278,0.003272,0.000056,0.000061,139.736930,139.733971,0.280436,0.274218
processed_data_batch_9.npz,150,150,92,58,0,0.018326,0.018326,0.000088,0.000082,1.443897,1.441808,0.037625,0.039571,0.003282,0.003280,0.000057,0.000060,140.049467,140.057353,0.197427,0.189519
processed_data_batch_10.npz,150,150,83,67,0,0.018405,0.018399,0.000078,0.000082,1.443033,1.437581,0.037525,0.041498,0.003270,0.003268,0.000065,0.000062,139.796983,139.822527,0.225658,0.218736
processed_data_batch_11.npz,150,150,95,55,0,0.018395,0.018393,0.000080,0.000089,1.441312,1.440144,0.034398,0.049607,0.003292,0.003329,0.000139,0.000491,139.866264,139.771496,0.420767,0.757207
processed_data_batch_12.npz,150,150,81,69,0,0.018359,0.018377,0.000092,0.000102,1.444303,1.437609,0.033108,0.048787,0.003332,0.003481,0.000384,0.001020,139.535665,139.380435,0.720917,1.648873
processed_data_batch_13.npz,150,150,69,81,0,0.018301,0.018299,0.000115,0.000149,1.442764,1.440830,0.027933,0.035720,0.003306,0.003524,0.000171,0.001384,139.421652,139.108309,0.475916,1.901366
processed_data_batch_14.npz,150,150,91,59,0,0.018246,0.018235,0.000108,0.000141,1.440068,1.435901,0.034065,0.043749,0.003286,0.003528,0.000104,0.001293,138.394056,138.439336,0.308622,1.735131
processed_data_batch_15.npz,150,150,84,66,0,0.018479,0.018499,0.000167,0.000180,1.412385,1.409955,0.029547,0.039958,0.003271,0.003403,0.000098,0.001268,131.965958,131.886066,0.402338,0.832045
