num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,140.030419,0.126721,139.922499,0.143095,140.076987,0.169819,139.975705,0.206847
20,139.941085,0.242913,139.788087,0.325817,139.892612,0.290024,139.714269,0.392253
30,139.923225,0.213495,139.755573,0.293290,139.884583,0.258830,139.697685,0.347384
40,139.871979,0.222450,139.675033,0.309916,139.844134,0.250171,139.639320,0.337944
50,139.828112,0.237926,139.638899,0.298668,139.819854,0.256062,139.626358,0.320553
60,139.780648,0.254384,139.585527,0.320006,139.766289,0.270298,139.565156,0.341374
70,139.752135,0.254069,139.555319,0.324870,139.745071,0.262343,139.537302,0.331816
80,139.744597,0.253165,139.544306,0.328794,139.732396,0.257335,139.513626,0.321869
90,139.737820,0.252617,139.533967,0.325592,139.721160,0.263027,139.495917,0.322091
100,139.753239,0.257536,139.541539,0.327346,139.744565,0.269161,139.512868,0.329449
110,139.779570,0.263738,139.568019,0.326341,139.771645,0.277420,139.540627,0.332608
120,139.797525,0.271087,139.583835,0.325776,139.800761,0.290601,139.565172,0.334979
130,139.796679,0.271659,139.584131,0.323919,139.793865,0.290648,139.558294,0.333311
140,139.794471,0.273654,139.580871,0.330000,139.784621,0.286869,139.546974,0.334753
150,139.834202,0.515373,139.614605,0.505734,139.791762,0.283883,139.553448,0.335467
