num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.740896,0.218189,139.548577,0.270007,139.746217,0.206870,139.538451,0.198686
20,139.831822,0.221730,139.644188,0.267289,139.851012,0.179422,139.653660,0.223156
30,139.783657,0.213844,139.575370,0.284330,139.781954,0.192576,139.561453,0.263420
40,139.778510,0.201544,139.565835,0.270900,139.774135,0.190409,139.539674,0.261705
50,139.812057,0.196925,139.602170,0.256336,139.808905,0.186565,139.587638,0.253398
60,139.839624,0.205175,139.643491,0.272108,139.846417,0.198360,139.642365,0.272026
70,139.830317,0.206784,139.642390,0.270717,139.829288,0.202924,139.640869,0.269821
80,139.813755,0.203083,139.626761,0.265795,139.816660,0.202863,139.635405,0.262118
90,139.827224,0.203490,139.636693,0.262692,139.832918,0.203628,139.651786,0.263298
100,139.844164,0.203078,139.643280,0.258299,139.837462,0.201674,139.654635,0.261223
110,139.852256,0.201240,139.658068,0.257194,139.844735,0.198885,139.668249,0.261021
120,139.883738,0.520960,139.651386,0.292253,139.827043,0.209765,139.652905,0.267479
130,139.862312,0.508239,139.628351,0.295727,139.811549,0.216946,139.639191,0.270446
140,139.793401,0.707490,139.584143,0.412998,139.788247,0.228774,139.608411,0.285890
150,139.786235,0.686496,139.580378,0.403502,139.783304,0.230866,139.600871,0.284734
