filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_1.npz,2,139.356184,2.068394,139.183566,2.333856,139.566842,0.466262,139.358782,0.264254
resampled_data_batch_2.npz,2,139.975959,0.241741,139.736500,0.308014,140.006246,0.228733,139.784266,0.285450
resampled_data_batch_3.npz,2,139.666146,0.209853,139.398719,0.277733,139.665775,0.204893,139.413225,0.287267
resampled_data_batch_4.npz,2,139.749151,0.275893,139.453065,0.349394,139.771217,0.271529,139.485786,0.360684
resampled_data_batch_5.npz,2,140.045212,0.156233,139.804624,0.205512,140.050520,0.154581,139.801919,0.197319
resampled_data_batch_6.npz,2,139.885113,0.198627,139.638192,0.256695,139.882972,0.216346,139.635516,0.274543
resampled_data_batch_7.npz,2,139.878234,0.219930,139.624340,0.276761,139.871122,0.209325,139.613155,0.257626
resampled_data_batch_8.npz,2,139.756930,0.275530,139.509684,0.325261,139.754068,0.282916,139.497914,0.324445
resampled_data_batch_9.npz,2,140.075062,0.189029,139.849340,0.240035,140.069114,0.195885,139.843904,0.250063
resampled_data_batch_10.npz,2,139.844041,0.218102,139.606615,0.292562,139.818628,0.223042,139.574121,0.277924
resampled_data_batch_11.npz,2,139.792063,0.749702,139.494560,1.017149,139.892254,0.416424,139.593326,0.325268
resampled_data_batch_12.npz,2,139.403111,1.640625,139.292234,0.939255,139.557403,0.714334,139.424293,0.317956
resampled_data_batch_13.npz,2,139.131756,1.880893,138.798911,2.098466,139.437518,0.478788,139.117198,0.322610
resampled_data_batch_14.npz,2,138.460077,1.717043,138.274752,1.956548,138.421529,0.310419,138.139025,0.301770
resampled_data_batch_15.npz,2,131.905244,0.827057,131.650196,1.461766,131.975636,0.402423,131.754756,0.385789
resampled_data_batch_16.npz,2,112.813842,1.000544,112.593569,0.850530,112.884434,0.737502,112.687123,0.703211
resampled_data_batch_17.npz,2,86.734647,1.037994,86.443576,1.321967,86.648159,0.704694,86.472816,0.734467
resampled_data_batch_18.npz,2,72.075039,0.278139,71.881753,0.366495,72.124171,0.272849,71.962095,0.257034
resampled_data_batch_19.npz,2,75.731501,0.483640,75.574428,0.511581,75.823799,0.435635,75.655905,0.465086
resampled_data_batch_20.npz,2,96.664082,1.038893,96.470504,1.033896,96.583179,1.053711,96.393228,1.065905
resampled_data_batch_21.npz,2,122.815158,0.848028,122.632075,0.843671,122.832986,0.859002,122.624842,0.862517
resampled_data_batch_22.npz,2,136.103493,0.360079,135.889346,0.393520,136.102371,0.370788,135.882899,0.393132
resampled_data_batch_23.npz,2,139.201260,0.247757,138.995409,0.311194,139.181437,0.250668,138.958577,0.299234
resampled_data_batch_24.npz,2,139.496493,0.258889,139.289760,0.320752,139.496620,0.263068,139.293056,0.335223
resampled_data_batch_25.npz,2,139.550182,1.253095,139.381095,1.441014,139.588106,0.423419,139.332647,0.333289
resampled_data_batch_26.npz,2,139.725500,0.400465,139.502671,0.394956,139.710676,0.382724,139.487004,0.361108
resampled_data_batch_27.npz,2,139.609766,0.254782,139.389043,0.302354,139.624314,0.255892,139.387569,0.305468
resampled_data_batch_28.npz,2,139.743965,0.258810,139.544302,0.314708,139.723063,0.260783,139.529235,0.303594
resampled_data_batch_29.npz,2,139.752966,0.238611,139.554634,0.279099,139.732130,0.241147,139.536206,0.263750
resampled_data_batch_30.npz,2,139.798494,1.120376,139.562768,1.002614,139.654941,0.360144,139.462416,0.331132
resampled_data_batch_31.npz,2,139.594236,0.738560,139.362126,1.091419,139.668093,0.286051,139.474346,0.349771
resampled_data_batch_32.npz,2,139.693401,0.267206,139.498205,0.325378,139.710129,0.268268,139.516275,0.327310
resampled_data_batch_33.npz,2,139.705708,0.224545,139.496395,0.274670,139.721033,0.212921,139.506010,0.261463
resampled_data_batch_34.npz,2,139.725674,0.641324,139.545624,0.916629,139.689984,0.406000,139.477099,0.325775
resampled_data_batch_35.npz,2,139.629817,0.285448,139.424358,0.339115,139.632124,0.293359,139.443139,0.347913
resampled_data_batch_36.npz,2,139.597136,0.254872,139.391643,0.315868,139.625576,0.259104,139.428224,0.328423
resampled_data_batch_37.npz,2,139.628082,1.021312,139.393836,1.030197,139.622115,0.579799,139.417379,0.347031
resampled_data_batch_38.npz,2,139.420944,0.968854,139.261614,0.914969,139.530697,0.301178,139.366604,0.351855
resampled_data_batch_39.npz,2,139.492592,0.259285,139.283566,0.306379,139.483999,0.252554,139.287904,0.294912
resampled_data_batch_40.npz,2,139.463759,1.355676,139.174639,1.611158,139.431598,0.357147,139.204782,0.369728
resampled_data_batch_41.npz,2,139.381137,0.541034,139.155886,0.371810,139.311913,0.349407,139.100358,0.337796
resampled_data_batch_42.npz,2,139.253901,0.280424,139.051549,0.323065,139.234764,0.272767,139.027873,0.318996
resampled_data_batch_43.npz,2,139.225607,1.014533,139.071793,1.298772,139.167712,0.488855,138.987103,0.333048
resampled_data_batch_44.npz,2,138.889649,0.346641,138.687009,0.330932,138.862938,0.288925,138.654789,0.330511
resampled_data_batch_45.npz,2,138.656341,0.261053,138.467588,0.306454,138.637407,0.266430,138.435942,0.314382
resampled_data_batch_46.npz,2,138.000140,0.497516,137.773822,0.809435,138.027656,0.263692,137.864246,0.298268
resampled_data_batch_47.npz,2,136.018149,0.360218,135.810319,0.393370,135.962328,0.358986,135.734349,0.376406
resampled_data_batch_48.npz,2,121.852114,1.993847,121.686873,1.965911,122.091022,2.030983,121.915009,1.997657
resampled_data_batch_49.npz,2,69.019970,3.739483,68.873551,3.758863,68.856608,3.257388,68.809745,3.294469
resampled_data_batch_54.npz,2,66.211296,3.812599,66.051106,3.824772,68.292280,1.967633,68.143417,1.944003
resampled_data_batch_55.npz,2,120.805226,2.471905,120.591024,2.425281,120.771767,2.346292,120.539210,2.355624
resampled_data_batch_56.npz,2,136.032529,0.402798,135.850432,0.466451,135.997130,0.405786,135.782259,0.416456
resampled_data_batch_57.npz,2,138.067934,0.259071,137.870815,0.311685,138.063889,0.265034,137.870863,0.324445
resampled_data_batch_58.npz,2,138.637420,0.326188,138.436936,0.341470,138.637461,0.332618,138.432340,0.333779
resampled_data_batch_59.npz,2,139.000534,0.237651,138.797545,0.298460,139.004836,0.260008,138.795818,0.321581
resampled_data_batch_60.npz,2,139.261850,0.928518,138.987082,0.540222,139.163662,0.304435,138.955995,0.355884
resampled_data_batch_61.npz,2,139.358005,0.274274,139.184919,0.329054,139.369942,0.268491,139.213091,0.306575
resampled_data_batch_62.npz,2,139.442593,0.960236,139.226052,0.520421,139.448721,0.282294,139.231371,0.329894
resampled_data_batch_63.npz,2,139.460926,0.505003,139.273663,0.589942,139.525383,0.261589,139.346642,0.338472
resampled_data_batch_64.npz,2,139.600404,1.070283,139.415083,1.187321,139.498738,0.392585,139.303935,0.322522
resampled_data_batch_65.npz,2,139.571813,0.267324,139.368155,0.311626,139.562027,0.263876,139.358218,0.303515
resampled_data_batch_66.npz,2,139.627299,0.567892,139.447714,0.745801,139.622976,0.490023,139.399644,0.297949
resampled_data_batch_67.npz,2,139.592111,1.023659,139.401892,1.014207,139.702434,0.297973,139.510466,0.345347
resampled_data_batch_68.npz,2,139.676348,0.433415,139.547668,1.294342,139.644900,0.240342,139.446273,0.305044
resampled_data_batch_69.npz,2,139.683124,0.300146,139.511734,0.349521,139.700704,0.290709,139.532167,0.331556
resampled_data_batch_70.npz,2,139.738693,0.228718,139.547025,0.292921,139.748436,0.232935,139.573819,0.298841
resampled_data_batch_71.npz,2,139.717464,0.476702,139.534482,0.610215,139.671650,0.300532,139.486689,0.330348
resampled_data_batch_72.npz,2,139.743651,0.281665,139.551822,0.355656,139.755636,0.280806,139.574921,0.345581
resampled_data_batch_73.npz,2,139.649423,0.985825,139.378552,1.676331,139.740222,0.232377,139.538128,0.282881
resampled_data_batch_74.npz,2,139.760179,0.271409,139.565079,0.335165,139.751888,0.246315,139.564587,0.295987
resampled_data_batch_75.npz,2,139.692306,0.651999,139.526849,0.529781,139.702458,0.398457,139.542504,0.340951
resampled_data_batch_76.npz,2,139.737059,0.239266,139.541266,0.298893,139.725002,0.230580,139.527693,0.302868
resampled_data_batch_77.npz,2,139.666700,0.977725,139.501680,0.932281,139.815056,0.384655,139.626515,0.308682
resampled_data_batch_78.npz,2,139.775125,0.240798,139.580721,0.310991,139.789202,0.215644,139.609568,0.278973
resampled_data_batch_79.npz,2,139.815440,0.861159,139.628412,0.610661,139.788042,0.257814,139.579526,0.300031
resampled_data_batch_80.npz,2,139.841980,0.515360,139.622703,0.505643,139.799617,0.279282,139.570927,0.334619
resampled_data_batch_81.npz,2,139.864334,0.515317,139.637388,0.338773,139.836037,0.264819,139.646486,0.314741
