filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
processed_data_batch_1.npz,2000,140.026556,10.054206,139.880315,10.577519,139.566768,0.999864,139.576802,0.948686
processed_data_batch_2.npz,2000,139.872299,0.991965,139.869061,0.960170,139.995509,0.813899,140.061468,0.885503
processed_data_batch_3.npz,2000,139.457506,0.979900,139.483883,0.918997,139.896493,1.101180,139.868306,0.958362
processed_data_batch_4.npz,2000,139.503587,1.053788,139.543074,1.005361,139.897753,1.211632,139.898494,1.192102
processed_data_batch_5.npz,2000,139.996498,1.065669,139.978316,1.131511,139.882363,0.456063,139.941943,0.566852
processed_data_batch_6.npz,2000,139.834815,1.033023,139.831640,1.036245,140.638805,0.816005,140.851408,0.873613
processed_data_batch_7.npz,2000,139.765051,0.917002,139.777745,0.976946,139.550436,0.936417,139.590269,1.010206
processed_data_batch_8.npz,2000,139.740313,1.058588,139.758552,1.059751,139.772530,1.113551,139.817679,1.027396
processed_data_batch_9.npz,2000,139.931429,0.911555,139.892255,0.955926,139.845246,0.885140,139.782343,0.877126
processed_data_batch_10.npz,2000,139.839615,1.053412,139.852812,1.005796,139.702761,0.887269,139.755252,0.830387
processed_data_batch_11.npz,2000,139.540883,1.305229,139.627600,0.974668,139.314251,0.879322,139.242880,0.696336
processed_data_batch_12.npz,2000,139.562007,1.606794,139.620396,1.864386,139.276152,0.943356,139.368400,0.879541
processed_data_batch_13.npz,2000,139.136192,3.900616,139.473883,5.802616,139.147930,0.724702,139.135916,0.640221
processed_data_batch_14.npz,2000,138.246641,5.020374,138.002276,4.054923,137.965094,0.671273,138.086786,0.751658
processed_data_batch_15.npz,2000,131.553924,4.201409,131.548805,4.287225,132.232471,0.962749,132.186320,0.986686
processed_data_batch_16.npz,2000,112.367463,1.858263,112.372637,1.676024,112.529150,0.953631,112.478700,1.103364
processed_data_batch_17.npz,2000,86.275711,2.306667,86.228800,2.747413,86.755144,0.814916,86.772271,0.865797
processed_data_batch_18.npz,2000,71.865713,0.522150,71.814377,0.787712,71.958064,0.337466,71.908412,0.341365
