method,num_signals,average_tau_std
WLS,10,0.442113
WLS,20,0.417865
WLS,30,0.413350
WLS,40,0.460060
WLS,50,0.507878
WLS,60,0.525487
WLS,70,0.540408
WLS,80,0.562915
WLS,90,0.574211
WLS,100,0.591019
WLS,110,0.606058
WLS,120,0.624130
WLS,130,0.650839
WLS,140,0.677736
WLS,150,0.694031
OLS,10,0.468727
OLS,20,0.439416
OLS,30,0.443407
OLS,40,0.493840
OLS,50,0.519794
OLS,60,0.538371
OLS,70,0.564762
OLS,80,0.592446
OLS,90,0.606844
OLS,100,0.627071
OLS,110,0.641808
OLS,120,0.665307
OLS,130,0.697666
OLS,140,0.739644
OLS,150,0.760694
WLS_QC,10,0.188337
WLS_QC,20,0.240745
WLS_QC,30,0.254483
WLS_QC,40,0.284125
WLS_QC,50,0.304813
WLS_QC,60,0.314476
WLS_QC,70,0.319540
WLS_QC,80,0.338590
WLS_QC,90,0.348527
WLS_QC,100,0.362333
WLS_QC,110,0.368229
WLS_QC,120,0.382182
WLS_QC,130,0.392968
WLS_QC,140,0.404391
WLS_QC,150,0.414472
OLS_QC,10,0.213297
OLS_QC,20,0.259832
OLS_QC,30,0.278381
OLS_QC,40,0.299559
OLS_QC,50,0.312846
OLS_QC,60,0.324535
OLS_QC,70,0.331896
OLS_QC,80,0.352159
OLS_QC,90,0.358331
OLS_QC,100,0.369549
OLS_QC,110,0.376759
OLS_QC,120,0.384176
OLS_QC,130,0.398065
OLS_QC,140,0.409611
OLS_QC,150,0.420481
