filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC,tau_mean_robust,tau_std_robust,tau_mean_robust_QC,tau_std_robust_QC
processed_data_batch_1.npz,2000,140.026556,10.054206,139.880315,10.577519,139.566768,0.999864,139.576802,0.948686,139.702484,8.458166,139.544134,1.048994
processed_data_batch_2.npz,2000,139.872299,0.991965,139.869061,0.960170,139.995509,0.813899,140.061468,0.885503,139.884390,0.986373,140.012215,0.902234
processed_data_batch_3.npz,2000,139.457506,0.979900,139.483883,0.918997,139.896493,1.101180,139.868306,0.958362,139.480270,0.929025,139.924850,0.885049
processed_data_batch_4.npz,2000,139.503587,1.053788,139.543074,1.005361,139.897753,1.211632,139.898494,1.192102,139.546058,1.013064,139.904067,1.321979
processed_data_batch_5.npz,2000,139.996498,1.065669,139.978316,1.131511,139.882363,0.456063,139.941943,0.566852,139.969982,1.127268,139.892449,0.567808
processed_data_batch_6.npz,2000,139.834815,1.033023,139.831640,1.036245,140.638805,0.816005,140.851408,0.873613,139.825444,1.078399,140.805518,0.777796
processed_data_batch_7.npz,2000,139.765051,0.917002,139.777745,0.976946,139.550436,0.936417,139.590269,1.010206,139.777929,0.964283,139.564596,0.927412
processed_data_batch_8.npz,2000,139.740313,1.058588,139.758552,1.059751,139.772530,1.113551,139.817679,1.027396,139.762631,1.045946,139.852394,1.065371
processed_data_batch_9.npz,2000,139.931429,0.911555,139.892255,0.955926,139.845246,0.885140,139.782343,0.877126,139.901076,0.945648,139.878006,0.890995
processed_data_batch_10.npz,2000,139.839615,1.053412,139.852812,1.005796,139.702761,0.887269,139.755252,0.830387,139.817031,1.036443,139.673980,0.924332
processed_data_batch_11.npz,2000,139.540883,1.305229,139.627600,0.974668,139.314251,0.879322,139.242880,0.696336,139.629005,1.050577,139.409485,0.720145
processed_data_batch_12.npz,2000,139.562007,1.606794,139.620396,1.864386,139.276152,0.943356,139.368400,0.879541,139.627398,1.751026,139.388885,0.915526
processed_data_batch_13.npz,2000,139.136192,3.900616,139.473883,5.802616,139.147930,0.724702,139.135916,0.640221,139.504817,6.705377,139.206236,0.719197
processed_data_batch_14.npz,2000,138.246641,5.020374,138.002276,4.054923,137.965094,0.671273,138.086786,0.751658,138.008731,3.522192,138.054748,0.785565
processed_data_batch_15.npz,2000,131.553924,4.201409,131.548805,4.287225,132.232471,0.962749,132.186320,0.986686,131.580863,3.869717,132.207787,1.000607
processed_data_batch_16.npz,2000,112.367463,1.858263,112.372637,1.676024,112.529150,0.953631,112.478700,1.103364,112.426212,1.320538,112.409595,0.990263
processed_data_batch_17.npz,2000,86.275711,2.306667,86.228800,2.747413,86.755144,0.814916,86.772271,0.865797,86.274894,2.333899,86.767628,0.865415
processed_data_batch_18.npz,2000,71.865713,0.522150,71.814377,0.787712,71.958064,0.337466,71.908412,0.341365,71.840176,0.491608,71.913771,0.349257
processed_data_batch_19.npz,2000,75.621289,0.692547,75.597164,0.614210,75.762362,0.551472,75.756506,0.563638,75.598353,0.634151,75.725094,0.615033
processed_data_batch_20.npz,2000,96.426910,1.086009,96.450050,1.070769,96.224793,0.959672,96.275860,0.890823,96.446022,1.080593,96.289108,0.891519
processed_data_batch_21.npz,2000,122.724089,1.153509,122.770073,1.145618,123.035709,1.048839,122.904780,1.006601,122.763302,1.154939,122.761908,1.237613
processed_data_batch_22.npz,2000,135.910734,1.054195,135.906995,1.087634,136.116624,0.249463,135.715993,1.303906,135.896360,1.077195,135.517346,1.236146
processed_data_batch_23.npz,2000,139.006411,0.980573,139.014829,1.040779,138.388543,0.727028,138.419040,0.620167,139.021690,1.054492,138.379389,0.658331
processed_data_batch_24.npz,2000,139.400350,1.108493,139.431038,1.161642,139.882427,1.205421,139.896388,1.304666,139.404335,1.159420,139.867952,1.305211
processed_data_batch_25.npz,2000,139.940056,3.936243,139.785910,3.584606,139.540276,0.739592,139.526008,0.706728,139.720324,3.333950,139.463747,0.754502
processed_data_batch_26.npz,2000,139.463147,1.147068,139.493054,1.098852,139.907069,0.456503,139.948847,0.513278,139.484178,1.111849,140.006626,0.497385
processed_data_batch_27.npz,2000,139.403278,1.041919,139.404505,1.008168,139.652108,0.991247,139.744054,0.882483,139.412962,1.006023,139.716504,0.845000
processed_data_batch_28.npz,2000,139.656761,1.037577,139.663848,1.017137,139.423655,1.268807,139.359140,1.292641,139.674794,1.053704,139.369969,1.378399
processed_data_batch_29.npz,2000,139.732861,0.953309,139.759410,0.982697,139.820868,0.655290,139.795641,0.723355,139.752350,0.992919,139.866601,0.723001
processed_data_batch_30.npz,2000,139.455692,2.926228,139.508433,2.554575,140.383662,1.024701,140.499323,1.551975,139.483001,2.447891,139.909700,0.718860
processed_data_batch_31.npz,2000,139.483238,1.745264,139.562419,1.128198,139.052300,0.666868,139.061353,0.679971,139.491907,1.482074,139.150585,0.771605
processed_data_batch_32.npz,2000,139.599876,1.049838,139.602339,1.052493,139.684486,1.075659,139.651060,1.034446,139.594742,1.078930,139.696948,1.132932
