filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
processed_data_batch_1.npz,2000,142.553595,0.989063,142.576313,0.988934,142.244207,0.677004,142.197840,0.777161
processed_data_batch_2.npz,2000,142.676326,1.229862,142.691526,1.297045,142.081112,0.908148,141.982529,1.059252
processed_data_batch_3.npz,2000,142.547062,1.185178,142.551270,1.203715,142.875039,1.008280,142.917816,0.850304
processed_data_batch_4.npz,2000,142.381134,0.908134,142.410871,0.893481,141.892757,1.093626,142.017261,0.974989
processed_data_batch_5.npz,2000,142.521511,1.188261,142.543135,1.284770,141.857014,1.474523,141.962315,1.656650
processed_data_batch_6.npz,2000,142.390606,1.112586,142.426034,1.069236,141.983196,1.210228,142.248403,1.337990
processed_data_batch_7.npz,2000,142.507929,1.010667,142.531665,1.052547,142.705765,0.545832,142.625372,0.610153
processed_data_batch_8.npz,2000,142.533271,1.178479,142.551412,1.163154,142.854071,1.500753,142.755878,1.274157
processed_data_batch_9.npz,2000,145.341050,32.898621,147.218039,53.915786,142.401342,0.533890,142.288427,0.484968
processed_data_batch_10.npz,2000,141.671585,5.605155,141.751624,5.852777,141.865909,0.817268,142.067634,0.899744
processed_data_batch_11.npz,2000,142.561391,1.217150,142.612995,1.299618,142.750357,1.161886,142.722178,1.243149
processed_data_batch_12.npz,2000,142.748693,1.102607,142.752405,1.187196,143.175849,0.709866,143.258946,0.874432
processed_data_batch_13.npz,2000,142.553505,1.209160,142.532808,1.220068,142.545600,1.645237,142.806946,1.551057
processed_data_batch_14.npz,2000,142.424157,1.118418,142.444441,1.137697,142.599727,0.609783,142.629002,0.489099
processed_data_batch_15.npz,2000,142.847061,0.986517,142.806261,0.979584,142.948621,1.060688,143.121835,0.982246
processed_data_batch_16.npz,2000,142.390241,1.103846,142.404687,1.049018,142.614874,1.482329,142.443408,1.353646
processed_data_batch_17.npz,2000,142.328311,1.001633,142.353800,0.983979,142.229451,1.207156,142.235110,1.128682
processed_data_batch_18.npz,2000,142.537280,1.143674,142.575810,1.219632,142.957727,1.066028,142.979035,1.036059
processed_data_batch_19.npz,2000,142.637198,1.238036,142.648117,1.317520,142.058416,0.835197,142.143833,0.880893
processed_data_batch_20.npz,2000,142.466138,1.057847,142.479106,1.080706,142.326494,1.113511,142.292937,0.988906
processed_data_batch_21.npz,2000,142.631333,1.156463,142.671092,1.208772,143.106744,1.002546,143.411887,0.638150
processed_data_batch_22.npz,2000,143.159085,6.932206,142.984596,4.859072,142.669259,1.088989,142.594002,1.074515
processed_data_batch_23.npz,2000,142.425204,1.502741,142.335074,1.218871,142.071711,0.942578,142.063306,0.842863
processed_data_batch_24.npz,2000,142.477919,0.981332,142.494599,0.982738,142.027436,1.108178,142.057246,1.065186
processed_data_batch_25.npz,2000,142.486752,1.042187,142.531937,1.063375,143.116977,0.587755,143.036658,0.513313
processed_data_batch_26.npz,2000,142.562989,1.132226,142.588491,1.115403,142.971199,0.714603,143.092376,0.682701
processed_data_batch_27.npz,2000,142.527880,1.160523,142.522179,1.172114,142.954190,1.311412,142.556714,1.075230
processed_data_batch_28.npz,2000,142.549005,1.017317,142.546539,1.043477,142.553169,0.966251,142.615312,0.982242
processed_data_batch_29.npz,2000,142.497701,1.074300,142.489139,1.110266,142.265182,0.846709,142.351364,0.811774
processed_data_batch_30.npz,2000,142.289275,1.625628,142.331444,1.535695,142.885353,1.018320,142.890704,0.922480
processed_data_batch_31.npz,2000,142.528898,1.095051,142.529925,1.139150,142.939086,1.292316,142.899787,1.335198
processed_data_batch_32.npz,2000,142.597097,1.058092,142.623649,1.085553,143.202122,1.193043,143.143797,1.267847
processed_data_batch_33.npz,2000,142.699955,1.131896,142.723535,1.154926,142.494436,0.981524,142.307654,0.697466
processed_data_batch_34.npz,2000,142.541287,1.182428,142.524691,1.113685,142.334047,0.700752,142.126381,0.747689
processed_data_batch_35.npz,2000,142.530826,1.096369,142.554282,1.107689,142.045772,0.846035,141.901662,0.639814
processed_data_batch_36.npz,2000,142.403140,1.060874,142.398221,1.053542,142.042329,1.305646,142.021955,1.351239
processed_data_batch_37.npz,2000,143.147542,6.869767,143.191540,6.953092,143.420022,1.270869,143.486124,1.277626
processed_data_batch_38.npz,2000,142.431534,1.020078,142.439486,0.958686,142.468417,1.129080,142.320377,1.141669
processed_data_batch_39.npz,2000,142.331685,1.044552,142.365007,1.012396,142.507550,1.288231,142.504940,1.314322
processed_data_batch_40.npz,2000,142.697785,3.497246,142.608332,2.323636,142.187301,0.763621,142.230091,0.793831
processed_data_batch_41.npz,2000,142.398720,1.060776,142.422850,1.050379,142.233899,1.073104,142.029618,1.076077
processed_data_batch_42.npz,2000,142.508179,1.095370,142.498565,1.083845,142.332750,0.734341,142.438594,0.593103
processed_data_batch_43.npz,2000,142.605061,2.560869,142.573137,2.304364,142.674528,0.896915,142.846804,0.822896
processed_data_batch_44.npz,2000,143.087298,7.528542,142.987689,6.753676,142.622000,0.932905,142.421355,0.842241
processed_data_batch_45.npz,2000,142.527878,0.996807,142.530063,1.012259,143.363469,0.881893,143.298222,0.811977
processed_data_batch_46.npz,2000,142.624111,1.806690,142.651681,2.572911,142.277558,0.977236,142.217861,0.933537
processed_data_batch_47.npz,2000,142.440242,1.083958,142.454033,1.079986,142.586452,1.382254,142.564370,1.400258
processed_data_batch_48.npz,2000,140.467879,1.099040,140.477733,1.088844,140.716561,0.705647,140.756006,0.582288
processed_data_batch_49.npz,2000,135.067156,1.084495,135.054359,1.065551,135.173622,1.042290,135.006414,1.230581
processed_data_batch_54.npz,2000,142.232148,1.519316,142.425654,1.547319,142.850171,0.929471,142.892540,0.903806
processed_data_batch_55.npz,2000,142.535553,0.986874,142.548827,1.011294,142.407005,1.192552,142.184094,1.248460
processed_data_batch_56.npz,2000,142.488072,0.994438,142.460088,1.060148,142.670983,0.829313,142.598121,0.785761
processed_data_batch_57.npz,2000,145.151667,32.087840,145.477705,35.813843,142.949342,0.930999,143.416095,0.562140
processed_data_batch_58.npz,2000,142.632426,1.086200,142.682507,1.106459,142.476090,1.272390,142.534317,1.176209
processed_data_batch_59.npz,2000,142.440959,1.130589,142.500599,1.140498,142.609094,0.927196,142.794801,1.009954
processed_data_batch_60.npz,2000,142.581459,1.071253,142.619620,1.132206,142.664165,0.848914,142.672690,0.824148
processed_data_batch_61.npz,2000,142.506388,1.073487,142.490967,1.249645,142.864824,0.858969,142.897968,0.900158
processed_data_batch_62.npz,2000,142.608407,1.091619,142.616233,1.081891,142.479177,0.479328,142.412704,0.559381
processed_data_batch_63.npz,2000,142.670468,1.006989,142.713219,0.974610,143.104908,0.504966,142.901943,0.968097
processed_data_batch_64.npz,2000,142.711172,1.049966,142.721781,1.075025,142.364081,0.641841,142.266592,0.832448
processed_data_batch_65.npz,2000,142.225681,2.430279,142.248454,2.465504,141.777222,0.887223,141.772849,1.090548
processed_data_batch_66.npz,2000,142.691767,1.081941,142.680439,1.090853,143.046042,1.110775,142.923635,1.146626
processed_data_batch_67.npz,2000,142.770276,1.703457,142.724370,1.250606,143.075939,0.813819,143.059187,0.830597
processed_data_batch_68.npz,2000,142.676902,1.053494,142.720469,1.171062,142.677087,1.168377,142.847213,1.319836
processed_data_batch_69.npz,2000,142.759616,1.918474,142.775339,1.456878,142.271113,0.621079,142.372462,0.743734
processed_data_batch_70.npz,2000,142.428117,1.092761,142.432564,1.065544,142.599343,1.398692,142.558862,1.309956
processed_data_batch_71.npz,2000,142.592323,1.080731,142.593164,1.091908,142.219728,0.949777,142.033233,0.850671
processed_data_batch_72.npz,2000,142.768364,1.009461,142.814349,1.021101,143.008117,0.594762,142.929960,0.582535
processed_data_batch_73.npz,2000,142.394696,2.671594,142.472918,2.201938,141.919470,0.698629,141.929984,0.997004
processed_data_batch_74.npz,2000,142.713904,0.997471,142.717807,0.941144,142.659889,0.607623,142.644719,0.557520
processed_data_batch_75.npz,2000,142.627611,1.070159,142.626932,1.035544,143.268823,1.254551,143.033959,1.177792
processed_data_batch_76.npz,2000,142.578356,1.012667,142.616909,0.991170,142.193049,0.908423,142.295629,0.976982
processed_data_batch_77.npz,2000,142.734962,1.081350,142.761125,1.241883,142.671969,1.020823,142.565374,1.010776
processed_data_batch_78.npz,2000,142.690854,1.021733,142.747665,0.972696,142.458957,1.352890,142.449042,1.184473
processed_data_batch_79.npz,2000,142.347655,4.054510,142.373895,3.778134,143.094359,0.944722,142.944150,0.900248
processed_data_batch_80.npz,2000,142.677854,1.051489,142.679074,1.048360,142.759239,1.153198,142.552053,1.041333
processed_data_batch_81.npz,2000,142.677377,0.995533,142.679708,1.049443,142.650105,0.809552,142.705399,0.932590
processed_data_batch_82.npz,2000,142.768557,1.101226,142.789179,1.089400,142.251692,1.058827,142.267633,0.947573
processed_data_batch_83.npz,2000,142.215752,3.358823,142.212680,3.205945,142.987322,1.105855,142.892864,1.100064
processed_data_batch_84.npz,2000,142.613405,1.153405,142.626390,1.214264,142.107200,1.181107,142.012932,1.306131
processed_data_batch_85.npz,2000,142.766794,0.907378,142.765182,0.887215,143.136169,0.668939,143.075957,0.702597
processed_data_batch_86.npz,2000,144.988657,25.530844,144.793464,23.272706,143.197448,0.980225,143.135049,1.010009
processed_data_batch_87.npz,2000,142.680602,1.165329,142.707950,1.183050,142.723720,1.131143,142.730423,1.105503
processed_data_batch_88.npz,2000,142.461274,1.391155,142.526067,1.356544,142.685933,1.010707,142.725342,1.062279
processed_data_batch_89.npz,2000,142.901536,2.648501,142.931031,2.758319,143.043723,0.587576,143.135708,0.586899
processed_data_batch_90.npz,2000,143.062797,6.574279,142.993755,5.699087,142.481614,0.896158,142.522770,0.907845
processed_data_batch_91.npz,2000,142.700065,1.163517,142.743421,1.184781,142.863944,1.608210,142.955646,1.737589
processed_data_batch_92.npz,2000,142.280492,1.650048,142.238184,2.259980,142.008827,1.202135,142.274254,1.051012
processed_data_batch_93.npz,2000,141.883643,1.027194,141.841357,0.989929,141.780532,0.576704,141.890944,0.655663
processed_data_batch_94.npz,2000,141.733278,11.872734,142.902621,26.709264,140.536278,1.039075,140.548056,0.993560
processed_data_batch_95.npz,2000,140.807038,1.153515,140.811774,1.182603,140.736210,0.952627,141.108450,0.857582
processed_data_batch_96.npz,2000,141.863066,1.030465,141.894633,1.078639,141.692757,0.926923,141.736732,0.968508
processed_data_batch_97.npz,2000,142.367932,1.088763,142.402751,1.082627,142.309112,1.166840,142.456393,1.071350
processed_data_batch_98.npz,2000,142.686117,1.065875,142.654821,1.043486,142.929292,1.024270,142.947836,1.147836
processed_data_batch_99.npz,2000,142.649621,1.199568,142.654836,1.260839,142.404307,0.811457,142.476455,0.769079
processed_data_batch_100.npz,2000,143.166581,6.417686,143.148518,5.830762,142.218230,1.178371,142.173087,1.418609
processed_data_batch_101.npz,2000,142.835189,2.461220,142.773983,2.150374,142.212224,0.971773,142.332548,1.051227
processed_data_batch_1.npz,4000,142.394472,0.444736,142.407158,0.478906,142.407494,0.417855,142.424563,0.441469
processed_data_batch_2.npz,4000,142.562324,0.343755,142.562722,0.458206,142.439575,0.334366,142.474648,0.442494
processed_data_batch_3.npz,4000,142.450165,0.395202,142.454397,0.501897,142.496033,0.370100,142.546663,0.452261
processed_data_batch_4.npz,4000,142.316696,0.454353,142.314251,0.462640,142.359965,0.475883,142.403271,0.467404
processed_data_batch_5.npz,4000,142.368971,0.348121,142.372381,0.466110,142.380100,0.308644,142.388533,0.436446
processed_data_batch_6.npz,4000,142.341246,0.456821,142.336340,0.529829,142.361016,0.403066,142.351583,0.470671
processed_data_batch_7.npz,4000,142.460165,0.381521,142.457168,0.453307,142.407406,0.354794,142.434147,0.457356
processed_data_batch_8.npz,4000,142.340349,0.485056,142.364502,0.549288,142.367987,0.463203,142.422300,0.543173
processed_data_batch_9.npz,4000,142.542881,2.998330,142.741471,4.745574,142.311464,0.521102,142.327133,0.497542
processed_data_batch_10.npz,4000,141.932350,2.790430,141.820639,3.574897,142.352709,0.456497,142.319235,0.481349
processed_data_batch_11.npz,4000,142.421959,0.348491,142.430357,0.473222,142.369109,0.350000,142.329405,0.474368
processed_data_batch_12.npz,4000,142.587916,0.350760,142.596109,0.443573,142.544372,0.377984,142.576281,0.484379
processed_data_batch_13.npz,4000,142.377616,0.418168,142.374845,0.525313,142.399408,0.441204,142.409078,0.539840
processed_data_batch_14.npz,4000,142.363042,0.463018,142.356890,0.517959,142.322773,0.404164,142.320469,0.436663
processed_data_batch_15.npz,4000,142.501606,0.430168,142.540058,0.498223,142.518847,0.417305,142.566754,0.475385
processed_data_batch_16.npz,4000,142.248763,0.457660,142.252990,0.537845,142.188170,0.392083,142.197183,0.489860
processed_data_batch_17.npz,4000,142.374283,0.439854,142.361175,0.502555,142.392573,0.419891,142.390747,0.478346
processed_data_batch_18.npz,4000,142.437521,0.441386,142.430456,0.534995,142.514179,0.431685,142.516947,0.519626
processed_data_batch_19.npz,4000,142.413490,0.427303,142.431309,0.525125,142.380146,0.348244,142.363559,0.399135
processed_data_batch_20.npz,4000,142.434716,0.380171,142.416615,0.468561,142.416745,0.405388,142.371516,0.480239
processed_data_batch_21.npz,4000,142.522248,0.402179,142.516303,0.506509,142.535321,0.431985,142.542686,0.506071
processed_data_batch_22.npz,4000,142.459747,1.521867,142.528968,0.842313,142.539516,0.433475,142.539117,0.444351
processed_data_batch_23.npz,4000,142.512968,1.914777,142.533793,1.953064,142.363391,0.431923,142.357557,0.546314
processed_data_batch_24.npz,4000,142.342109,0.489938,142.354685,0.521454,142.323190,0.524227,142.305432,0.553750
processed_data_batch_25.npz,4000,142.419133,0.421644,142.413339,0.492639,142.513257,0.428775,142.514591,0.487751
processed_data_batch_26.npz,4000,142.449808,0.424164,142.461985,0.511092,142.461096,0.402036,142.470160,0.513408
processed_data_batch_27.npz,4000,142.444289,0.468136,142.438163,0.546845,142.478307,0.506792,142.486377,0.600758
processed_data_batch_28.npz,4000,142.386967,0.357006,142.394416,0.440624,142.427886,0.376611,142.436767,0.448292
processed_data_batch_29.npz,4000,142.343431,0.506121,142.324953,0.594952,142.377050,0.364784,142.304870,0.393465
processed_data_batch_30.npz,4000,142.384036,0.740978,142.355197,0.606631,142.372717,0.484822,142.365071,0.532588
processed_data_batch_31.npz,4000,142.410788,0.444307,142.417103,0.507864,142.453805,0.468057,142.444703,0.547098
processed_data_batch_32.npz,4000,142.436729,0.488499,142.450019,0.564031,142.404889,0.515800,142.429439,0.586461
processed_data_batch_33.npz,4000,142.447523,0.489094,142.494070,0.525139,142.512865,0.363320,142.554727,0.432054
processed_data_batch_34.npz,4000,142.322111,0.832328,142.358117,0.678468,142.433380,0.463781,142.448359,0.430523
processed_data_batch_35.npz,4000,142.384462,0.414091,142.401312,0.496798,142.318831,0.456025,142.364067,0.567843
processed_data_batch_36.npz,4000,142.321885,0.435881,142.314561,0.507673,142.397143,0.394692,142.398357,0.454116
processed_data_batch_37.npz,4000,142.715013,2.542096,142.763205,2.838024,142.417927,0.471083,142.938399,3.629439
processed_data_batch_38.npz,4000,142.301187,0.936590,142.293552,0.888090,142.373950,0.464061,142.345509,0.499237
processed_data_batch_39.npz,4000,142.382521,0.465933,142.352043,0.508901,142.405145,0.420605,142.379003,0.458851
processed_data_batch_40.npz,4000,142.371787,0.880195,142.413391,0.529647,142.313606,0.387815,142.342171,0.468359
processed_data_batch_41.npz,4000,142.454143,0.792871,142.409602,0.630988,142.371656,0.428248,142.369634,0.441692
processed_data_batch_42.npz,4000,142.457192,0.429753,142.451401,0.514833,142.474671,0.415057,142.477456,0.528050
processed_data_batch_43.npz,4000,142.532713,1.148620,142.539295,1.406683,142.490396,0.399371,142.497444,0.469205
processed_data_batch_44.npz,4000,142.374014,1.673795,142.418493,0.873072,142.591398,0.467093,142.544427,0.520133
processed_data_batch_45.npz,4000,142.424366,0.443732,142.418674,0.504332,142.480712,0.443347,142.451939,0.503889
processed_data_batch_46.npz,4000,142.292788,1.416757,142.298323,1.033156,142.409265,0.436832,142.442509,0.490433
processed_data_batch_47.npz,4000,142.217708,0.439134,142.223895,0.480448,142.193090,0.441910,142.211230,0.441218
processed_data_batch_48.npz,4000,140.329253,0.471857,140.328020,0.537118,140.357428,0.535646,140.315660,0.573717
processed_data_batch_49.npz,4000,134.918001,0.766421,134.957419,0.778466,134.881515,0.685261,134.842100,0.683318
processed_data_batch_54.npz,4000,142.006467,3.007098,142.060789,2.571915,142.206098,0.495582,142.237457,0.555694
processed_data_batch_55.npz,4000,142.492042,0.447805,142.490017,0.485915,142.472563,0.436173,142.420839,0.478631
processed_data_batch_56.npz,4000,142.596782,1.278292,142.568279,1.243619,142.439785,0.385125,142.427307,0.429938
processed_data_batch_57.npz,4000,142.728512,3.259964,142.856753,4.936551,142.478579,0.447529,142.456432,0.475990
processed_data_batch_58.npz,4000,142.517310,0.387893,142.517322,0.475261,142.536160,0.420432,142.523281,0.507469
processed_data_batch_59.npz,4000,142.324913,0.814763,142.343021,0.647787,142.490940,0.441128,142.460391,0.470983
processed_data_batch_60.npz,4000,142.509118,0.412621,142.502001,0.485006,142.492056,0.375435,142.534987,0.454573
processed_data_batch_61.npz,4000,142.485290,1.177635,142.487365,1.033575,142.473777,0.435019,142.497554,0.474038
processed_data_batch_62.npz,4000,142.531602,0.451486,142.527501,0.539409,142.502873,0.491132,142.512516,0.582946
processed_data_batch_63.npz,4000,142.530932,0.874374,142.533482,0.777442,142.419142,0.438023,142.414526,0.500056
processed_data_batch_64.npz,4000,142.555127,0.418734,142.555096,0.493227,142.567220,0.437963,142.532795,0.481554
