filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_1.npz,1.435765,1.434316,0.053928,0.054723,139.173926,139.560136,2.372826,2.420526,0.020690,0.020465,0.000581,0.001077,0.003815,0.003969,0.001735,0.003114
processed_data_batch_2.npz,1.446199,1.446198,0.037339,0.037339,139.725565,139.725668,0.313335,0.313342,0.019599,0.019599,0.000520,0.000520,0.003285,0.002945,0.000059,0.000056
processed_data_batch_3.npz,1.457376,1.457375,0.028372,0.028372,139.386027,139.386154,0.283197,0.283232,0.018729,0.018729,0.000106,0.000106,0.003284,0.002949,0.000064,0.000063
processed_data_batch_4.npz,1.448718,1.448716,0.033139,0.033139,139.438728,139.438850,0.356711,0.356682,0.018603,0.018603,0.000095,0.000095,0.003282,0.002942,0.000059,0.000059
processed_data_batch_5.npz,1.421997,1.421996,0.066481,0.066481,139.792396,139.792503,0.209254,0.209274,0.018645,0.018645,0.000093,0.000093,0.003270,0.002924,0.000064,0.000063
processed_data_batch_6.npz,1.443115,1.443114,0.039498,0.039498,139.627864,139.627974,0.262458,0.262446,0.018767,0.018767,0.000090,0.000090,0.003287,0.002940,0.000058,0.000054
processed_data_batch_7.npz,1.445459,1.445457,0.034440,0.034440,139.612444,139.612566,0.281556,0.281561,0.018796,0.018796,0.000080,0.000080,0.003282,0.002934,0.000061,0.000054
processed_data_batch_8.npz,1.455205,1.455204,0.028061,0.028061,139.497675,139.497773,0.328849,0.328844,0.018825,0.018825,0.000097,0.000097,0.003287,0.002939,0.000058,0.000056
processed_data_batch_9.npz,1.442353,1.442352,0.039555,0.039555,139.839434,139.839540,0.243806,0.243836,0.018767,0.018767,0.000090,0.000090,0.003296,0.002944,0.000060,0.000048
processed_data_batch_10.npz,1.438196,1.438195,0.041380,0.041380,139.595067,139.595179,0.298391,0.298369,0.018841,0.018841,0.000104,0.000104,0.003282,0.002934,0.000062,0.000055
