filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_1.npz,1.435765,1.435217,0.053928,0.054211,139.173926,139.315885,2.372826,2.190363,0.020690,0.020607,0.000581,0.000578,0.003815,0.003462,0.001735,0.002078
processed_data_batch_2.npz,1.446199,1.446198,0.037339,0.037339,139.725565,139.725710,0.313335,0.313303,0.019599,0.019599,0.000520,0.000520,0.003285,0.002769,0.000059,0.000064
processed_data_batch_3.npz,1.457376,1.457375,0.028372,0.028372,139.386027,139.386169,0.283197,0.283258,0.018729,0.018729,0.000106,0.000106,0.003284,0.002772,0.000064,0.000067
processed_data_batch_4.npz,1.448718,1.448716,0.033139,0.033139,139.438728,139.438846,0.356711,0.356687,0.018603,0.018603,0.000095,0.000095,0.003282,0.002767,0.000059,0.000058
processed_data_batch_5.npz,1.421997,1.421996,0.066481,0.066481,139.792396,139.792542,0.209254,0.209263,0.018645,0.018645,0.000093,0.000093,0.003270,0.002752,0.000064,0.000062
processed_data_batch_6.npz,1.443115,1.443113,0.039498,0.039497,139.627864,139.627998,0.262458,0.262408,0.018767,0.018767,0.000090,0.000090,0.003287,0.002758,0.000058,0.000044
processed_data_batch_7.npz,1.445459,1.445457,0.034440,0.034440,139.612444,139.612597,0.281556,0.281584,0.018796,0.018796,0.000080,0.000080,0.003282,0.002763,0.000061,0.000051
processed_data_batch_8.npz,1.455205,1.455204,0.028061,0.028061,139.497675,139.497816,0.328849,0.328840,0.018825,0.018825,0.000097,0.000097,0.003287,0.002768,0.000058,0.000051
processed_data_batch_9.npz,1.442353,1.442352,0.039555,0.039555,139.839434,139.839549,0.243806,0.243846,0.018767,0.018767,0.000090,0.000090,0.003296,0.002764,0.000060,0.000045
processed_data_batch_10.npz,1.438196,1.438195,0.041380,0.041380,139.595067,139.595230,0.298391,0.298346,0.018841,0.018841,0.000104,0.000104,0.003282,0.002757,0.000062,0.000053
