filename,B_mean_ols,B_mean_wls,B_std_ols,B_std_wls,I0_mean_ols,I0_mean_wls,I0_std_ols,I0_std_wls,residuals_std_mean_ols,residuals_std_mean_wls,residuals_std_std_ols,residuals_std_std_wls,tau_mean_ols,tau_mean_wls,tau_std_ols,tau_std_wls
processed_data_batch_1.npz,0.020690,0.020313,0.000581,0.000238,1.435765,1.435392,0.053928,0.055654,0.003815,0.003912,0.001735,0.001946,139.173926,139.330020,2.372826,2.099214
processed_data_batch_2.npz,0.019599,0.019174,0.000520,0.000519,1.446199,1.445551,0.037339,0.037363,0.003285,0.003295,0.000059,0.000060,139.725565,139.951979,0.313335,0.245256
processed_data_batch_3.npz,0.018729,0.018282,0.000106,0.000094,1.457376,1.456597,0.028372,0.028412,0.003284,0.003296,0.000064,0.000066,139.386027,139.635819,0.283197,0.214288
processed_data_batch_4.npz,0.018603,0.018142,0.000095,0.000078,1.448718,1.447790,0.033139,0.033238,0.003282,0.003297,0.000059,0.000060,139.438728,139.716295,0.356711,0.284245
processed_data_batch_5.npz,0.018645,0.018208,0.000093,0.000085,1.421997,1.421462,0.066481,0.066524,0.003270,0.003279,0.000064,0.000064,139.792396,140.012225,0.209254,0.156604
processed_data_batch_6.npz,0.018767,0.018327,0.000090,0.000075,1.443115,1.442455,0.039498,0.039443,0.003287,0.003298,0.000058,0.000059,139.627864,139.860577,0.262458,0.203325
processed_data_batch_7.npz,0.018796,0.018354,0.000080,0.000073,1.445459,1.444768,0.034440,0.034387,0.003282,0.003293,0.000061,0.000063,139.612444,139.849904,0.281556,0.221939
processed_data_batch_8.npz,0.018825,0.018387,0.000097,0.000083,1.455205,1.454546,0.028061,0.028029,0.003287,0.003298,0.000058,0.000061,139.497675,139.727374,0.328849,0.273092
processed_data_batch_9.npz,0.018767,0.018334,0.000090,0.000087,1.442353,1.441848,0.039555,0.039565,0.003296,0.003305,0.000060,0.000061,139.839434,140.049372,0.243806,0.189785
processed_data_batch_10.npz,0.018841,0.018408,0.000104,0.000084,1.438196,1.437625,0.041380,0.041488,0.003282,0.003293,0.000062,0.000063,139.595067,139.813951,0.298391,0.218672
processed_data_batch_11.npz,0.018861,0.018403,0.000202,0.000095,1.441141,1.440193,0.048856,0.049604,0.003332,0.003356,0.000430,0.000510,139.480655,139.761776,1.034048,0.758134
processed_data_batch_12.npz,0.018773,0.018385,0.000337,0.000108,1.437458,1.437650,0.049237,0.048800,0.003456,0.003515,0.000870,0.001063,139.284400,139.372545,0.923814,1.649722
processed_data_batch_13.npz,0.018784,0.018310,0.000354,0.000160,1.442185,1.440883,0.036115,0.035721,0.003509,0.003559,0.001319,0.001435,138.782593,139.098074,2.121995,1.909731
processed_data_batch_14.npz,0.018663,0.018242,0.000403,0.000156,1.436290,1.435935,0.044142,0.043749,0.003515,0.003563,0.001220,0.001343,138.266228,138.432891,1.990363,1.743974
processed_data_batch_15.npz,0.018954,0.018507,0.000416,0.000186,1.410742,1.409994,0.037576,0.039946,0.003383,0.003432,0.001058,0.001313,131.638046,131.878628,1.495017,0.832725
processed_data_batch_16.npz,0.019303,0.018862,0.000268,0.000243,1.326763,1.326073,0.033908,0.033967,0.003283,0.003303,0.000613,0.000639,112.583066,112.792168,0.851210,1.008477
processed_data_batch_17.npz,0.019764,0.019296,0.000264,0.000130,1.155228,1.153617,0.033422,0.034736,0.003210,0.003247,0.000956,0.001202,86.433428,86.718909,1.333547,1.043284
processed_data_batch_18.npz,0.020431,0.020000,0.000266,0.000274,1.028870,1.027966,0.024066,0.024578,0.003051,0.003061,0.000239,0.000275,71.874823,72.064622,0.369044,0.278839
processed_data_batch_19.npz,0.021179,0.020775,0.000211,0.000210,1.062262,1.061660,0.034968,0.034980,0.003055,0.003062,0.000179,0.000184,75.568020,75.720855,0.514030,0.485464
processed_data_batch_20.npz,0.021580,0.021178,0.000120,0.000124,1.231772,1.231012,0.030162,0.030113,0.003125,0.003133,0.000057,0.000058,96.461663,96.649346,1.037700,1.043742
processed_data_batch_21.npz,0.022011,0.021632,0.000105,0.000096,1.375764,1.375257,0.037744,0.037591,0.003227,0.003235,0.000055,0.000057,122.622351,122.796188,0.846022,0.847871
processed_data_batch_22.npz,0.022208,0.021828,0.000104,0.000089,1.430731,1.430124,0.053658,0.053585,0.003277,0.003286,0.000059,0.000061,135.876350,136.076907,0.396455,0.358195
processed_data_batch_23.npz,0.022370,0.021996,0.000095,0.000087,1.437797,1.437250,0.057160,0.057151,0.003283,0.003292,0.000060,0.000061,138.984215,139.178915,0.317671,0.257296
processed_data_batch_24.npz,0.022524,0.022153,0.000104,0.000089,1.433130,1.432599,0.056501,0.056458,0.003281,0.003290,0.000059,0.000061,139.276445,139.468369,0.326107,0.263732
processed_data_batch_25.npz,0.022625,0.022273,0.000317,0.000120,1.445147,1.444763,0.053637,0.053767,0.003412,0.003445,0.000830,0.000941,139.370562,139.525224,1.464976,1.271475
processed_data_batch_26.npz,0.022745,0.022369,0.000108,0.000083,1.451043,1.450388,0.046844,0.046993,0.003307,0.003318,0.000104,0.000110,139.489685,139.699756,0.399025,0.404419
processed_data_batch_27.npz,0.022822,0.022447,0.000102,0.000091,1.452804,1.452166,0.039436,0.039432,0.003302,0.003311,0.000056,0.000057,139.374809,139.580027,0.306554,0.256216
processed_data_batch_28.npz,0.022891,0.022526,0.000088,0.000074,1.455219,1.454729,0.028662,0.028697,0.003294,0.003303,0.000056,0.000057,139.530127,139.711811,0.319216,0.258240
processed_data_batch_29.npz,0.022937,0.022573,0.000095,0.000081,1.430365,1.429867,0.068370,0.068268,0.003288,0.003295,0.000060,0.000060,139.542006,139.726035,0.283875,0.242222
processed_data_batch_30.npz,0.023019,0.022639,0.000210,0.000106,1.445087,1.444356,0.052075,0.052026,0.003371,0.003394,0.000535,0.000597,139.548066,139.769853,1.009270,1.140032
processed_data_batch_31.npz,0.023050,0.022675,0.000212,0.000097,1.449914,1.449168,0.035153,0.035501,0.003339,0.003356,0.000480,0.000581,139.347907,139.565829,1.111825,0.755033
processed_data_batch_32.npz,0.023087,0.022724,0.000091,0.000074,1.450159,1.449660,0.038776,0.038778,0.003298,0.003307,0.000061,0.000062,139.486497,139.669350,0.330547,0.269605
processed_data_batch_33.npz,0.023076,0.022709,0.000096,0.000082,1.450354,1.449771,0.047774,0.047748,0.003292,0.003300,0.000060,0.000061,139.483165,139.678742,0.279850,0.227174
