filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_1.npz,150,150,65,85,0,0.020254,0.020313,0.000189,0.000238,1.448117,1.435392,0.028505,0.055654,0.003368,0.003912,0.000161,0.001946,139.541861,139.330020,0.459305,2.099214
processed_data_batch_2.npz,150,150,82,68,0,0.019114,0.019174,0.000500,0.000519,1.446527,1.445551,0.036262,0.037363,0.003290,0.003295,0.000058,0.000060,139.986562,139.951979,0.230363,0.245256
processed_data_batch_3.npz,150,150,91,59,0,0.018275,0.018282,0.000102,0.000094,1.453151,1.456597,0.030669,0.028412,0.003294,0.003296,0.000066,0.000066,139.641482,139.635819,0.208811,0.214288
processed_data_batch_4.npz,150,150,92,58,0,0.018144,0.018142,0.000077,0.000078,1.449396,1.447790,0.029582,0.033238,0.003294,0.003297,0.000060,0.000060,139.734504,139.716295,0.283664,0.284245
processed_data_batch_5.npz,150,150,87,63,0,0.018211,0.018208,0.000082,0.000085,1.418379,1.421462,0.069005,0.066524,0.003272,0.003279,0.000060,0.000064,140.016787,140.012225,0.150645,0.156604
processed_data_batch_6.npz,150,150,89,61,0,0.018331,0.018327,0.000075,0.000075,1.444492,1.442455,0.040337,0.039443,0.003306,0.003298,0.000061,0.000059,139.860466,139.860577,0.223266,0.203325
processed_data_batch_7.npz,150,150,84,66,0,0.018355,0.018354,0.000076,0.000073,1.447909,1.444768,0.028093,0.034387,0.003308,0.003293,0.000058,0.000063,139.849161,139.849904,0.210564,0.221939
processed_data_batch_8.npz,150,150,80,70,0,0.018387,0.018387,0.000081,0.000083,1.455706,1.454546,0.025955,0.028029,0.003303,0.003298,0.000056,0.000061,139.730252,139.727374,0.277886,0.273092
processed_data_batch_9.npz,150,150,91,59,0,0.018334,0.018334,0.000095,0.000087,1.443704,1.441848,0.037760,0.039565,0.003309,0.003305,0.000058,0.000061,140.041871,140.049372,0.200492,0.189785
processed_data_batch_10.npz,150,150,83,67,0,0.018413,0.018408,0.000081,0.000084,1.446265,1.437625,0.032512,0.041488,0.003298,0.003293,0.000066,0.000063,139.789389,139.813951,0.227616,0.218672
processed_data_batch_11.npz,150,150,94,56,0,0.018405,0.018403,0.000085,0.000095,1.440995,1.440193,0.034458,0.049604,0.003317,0.003356,0.000144,0.000510,139.860787,139.761776,0.415666,0.758134
processed_data_batch_12.npz,150,150,80,70,0,0.018367,0.018385,0.000098,0.000108,1.444740,1.437650,0.033125,0.048800,0.003360,0.003515,0.000401,0.001063,139.526698,139.372545,0.721089,1.649722
processed_data_batch_13.npz,150,150,68,82,0,0.018310,0.018310,0.000121,0.000160,1.442972,1.440883,0.028109,0.035721,0.003335,0.003559,0.000178,0.001435,139.413692,139.098074,0.478089,1.909731
processed_data_batch_14.npz,150,150,90,60,0,0.018258,0.018242,0.000119,0.000156,1.441067,1.435935,0.033793,0.043749,0.003310,0.003563,0.000106,0.001343,138.387965,138.432891,0.301241,1.743974
processed_data_batch_15.npz,150,150,84,66,0,0.018488,0.018507,0.000169,0.000186,1.412427,1.409994,0.029540,0.039946,0.003295,0.003432,0.000101,0.001313,131.958013,131.878628,0.399133,0.832725
processed_data_batch_16.npz,150,150,61,89,0,0.018828,0.018862,0.000256,0.000243,1.327223,1.326073,0.039138,0.033967,0.003224,0.003303,0.000176,0.000639,112.835585,112.792168,0.727125,1.008477
processed_data_batch_17.npz,150,150,46,104,0,0.019311,0.019296,0.000138,0.000130,1.150800,1.153617,0.036900,0.034736,0.003107,0.003247,0.000062,0.001202,86.581317,86.718909,0.689236,1.043284
