filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_1.npz,150,150,64,86,0,0.020647,0.020687,0.000269,0.000529,1.449085,1.435764,0.028414,0.053929,0.003307,0.003769,0.000090,0.001670,139.341483,139.174536,0.266677,2.360010
processed_data_batch_2.npz,150,150,79,71,0,0.019518,0.019595,0.000491,0.000517,1.448883,1.446199,0.031415,0.037339,0.003259,0.003260,0.000057,0.000058,139.770886,139.726607,0.289447,0.311309
processed_data_batch_3.npz,150,150,89,61,0,0.018717,0.018724,0.000105,0.000099,1.453662,1.457376,0.030544,0.028372,0.003258,0.003260,0.000064,0.000063,139.398352,139.387664,0.290426,0.280998
processed_data_batch_4.npz,150,150,93,57,0,0.018595,0.018598,0.000089,0.000090,1.449842,1.448718,0.030136,0.033139,0.003255,0.003258,0.000059,0.000059,139.465179,139.440149,0.367395,0.354257
processed_data_batch_5.npz,150,150,85,65,0,0.018644,0.018641,0.000089,0.000089,1.419669,1.421997,0.069871,0.066481,0.003239,0.003246,0.000058,0.000063,139.795564,139.793315,0.201938,0.208396
processed_data_batch_6.npz,150,150,89,61,0,0.018767,0.018763,0.000082,0.000085,1.443603,1.443115,0.040393,0.039498,0.003268,0.003262,0.000060,0.000057,139.624896,139.628776,0.279818,0.260478
processed_data_batch_7.npz,150,150,83,67,0,0.018795,0.018790,0.000075,0.000075,1.449286,1.445459,0.027411,0.034440,0.003272,0.003258,0.000056,0.000060,139.602013,139.613926,0.263845,0.279723
processed_data_batch_8.npz,150,150,83,67,0,0.018822,0.018821,0.000096,0.000093,1.455916,1.455205,0.027209,0.028061,0.003265,0.003261,0.000055,0.000057,139.495987,139.498712,0.331278,0.327968
processed_data_batch_9.npz,150,150,91,59,0,0.018762,0.018763,0.000092,0.000085,1.442548,1.442353,0.039617,0.039555,0.003273,0.003271,0.000057,0.000059,139.839851,139.840420,0.249410,0.242429
processed_data_batch_10.npz,150,150,83,67,0,0.018843,0.018836,0.000098,0.000098,1.445420,1.438196,0.035499,0.041380,0.003259,0.003257,0.000063,0.000061,139.567131,139.596272,0.288544,0.296558
processed_data_batch_11.npz,150,150,98,52,0,0.018838,0.018853,0.000110,0.000186,1.443324,1.441141,0.033598,0.048856,0.003263,0.003306,0.000056,0.000413,139.582963,139.483042,0.330437,1.029282
processed_data_batch_12.npz,150,150,79,71,0,0.018786,0.018773,0.000160,0.000307,1.445208,1.437458,0.033363,0.049237,0.003275,0.003424,0.000125,0.000836,139.417419,139.283886,0.322294,0.931397
processed_data_batch_13.npz,150,150,68,82,0,0.018774,0.018774,0.000183,0.000324,1.444126,1.442185,0.027859,0.036115,0.003276,0.003475,0.000100,0.001270,139.098713,138.785774,0.328273,2.116081
processed_data_batch_14.npz,150,150,90,60,0,0.018708,0.018662,0.000160,0.000366,1.441377,1.436290,0.033900,0.044142,0.003265,0.003482,0.000072,0.001175,138.124735,138.265974,0.312827,1.979670
processed_data_batch_15.npz,150,150,81,69,0,0.018915,0.018948,0.000200,0.000383,1.412297,1.410741,0.029620,0.037577,0.003252,0.003355,0.000070,0.001021,131.755601,131.639661,0.389775,1.484011
processed_data_batch_16.npz,150,150,60,90,0,0.019261,0.019299,0.000277,0.000261,1.328959,1.326763,0.038719,0.033908,0.003191,0.003260,0.000142,0.000587,112.651819,112.584193,0.675698,0.851835
processed_data_batch_17.npz,150,150,45,105,0,0.019741,0.019756,0.000134,0.000245,1.150557,1.155227,0.037871,0.033423,0.003085,0.003192,0.000060,0.000921,86.390828,86.435473,0.707854,1.330035
processed_data_batch_18.npz,150,150,29,121,0,0.020400,0.020426,0.000279,0.000265,1.032715,1.028870,0.021821,0.024066,0.003039,0.003041,0.000059,0.000229,71.918323,71.875800,0.267695,0.368004
processed_data_batch_19.npz,150,150,28,122,0,0.021211,0.021174,0.000192,0.000210,1.063584,1.062262,0.041648,0.034968,0.003039,0.003044,0.000053,0.000170,75.652073,75.568884,0.479610,0.513469
processed_data_batch_20.npz,150,150,54,96,0,0.021555,0.021575,0.000126,0.000118,1.237852,1.231772,0.023413,0.030162,0.003110,0.003109,0.000048,0.000057,96.406072,96.462888,1.035398,1.037922
processed_data_batch_21.npz,150,150,64,86,0,0.022017,0.022008,0.000107,0.000100,1.378595,1.375764,0.032339,0.037744,0.003206,0.003205,0.000052,0.000054,122.621177,122.622973,0.862459,0.846168
processed_data_batch_22.npz,150,150,82,68,0,0.022211,0.022202,0.000104,0.000100,1.423724,1.430731,0.065395,0.053658,0.003250,0.003253,0.000058,0.000058,135.866116,135.878344,0.398037,0.396205
processed_data_batch_23.npz,150,150,80,70,0,0.022363,0.022365,0.000091,0.000091,1.440403,1.437797,0.051763,0.057160,0.003264,0.003259,0.000056,0.000059,138.942468,138.985588,0.300184,0.315775
processed_data_batch_24.npz,150,150,82,68,0,0.022521,0.022517,0.000098,0.000099,1.438604,1.433130,0.049787,0.056501,0.003261,0.003256,0.000063,0.000058,139.266543,139.278346,0.327037,0.324447
processed_data_batch_25.npz,150,150,76,74,0,0.022653,0.022620,0.000142,0.000288,1.451362,1.445147,0.036789,0.053637,0.003277,0.003382,0.000095,0.000798,139.313313,139.371795,0.332856,1.457363
processed_data_batch_26.npz,150,150,85,65,0,0.022742,0.022738,0.000106,0.000101,1.457347,1.451043,0.033025,0.046844,0.003274,0.003281,0.000053,0.000100,139.461097,139.491734,0.364137,0.398077
processed_data_batch_27.npz,150,150,74,76,0,0.022813,0.022816,0.000102,0.000099,1.454960,1.452804,0.036737,0.039436,0.003280,0.003277,0.000054,0.000055,139.376873,139.376603,0.306956,0.305454
processed_data_batch_28.npz,150,150,84,66,0,0.022895,0.022884,0.000081,0.000083,1.458365,1.455219,0.024770,0.028662,0.003273,0.003270,0.000053,0.000056,139.521385,139.532250,0.305971,0.317637
processed_data_batch_29.npz,150,150,78,72,0,0.022936,0.022932,0.000093,0.000090,1.435833,1.430365,0.053235,0.068370,0.003268,0.003263,0.000057,0.000058,139.520357,139.543190,0.265589,0.282790
processed_data_batch_30.npz,150,150,83,67,0,0.022987,0.023010,0.000124,0.000191,1.442066,1.445087,0.055008,0.052075,0.003286,0.003343,0.000172,0.000513,139.450740,139.551000,0.338152,1.007394
processed_data_batch_31.npz,150,150,83,67,0,0.023025,0.023043,0.000093,0.000193,1.450762,1.449914,0.036886,0.035153,0.003276,0.003312,0.000060,0.000463,139.459224,139.350030,0.361405,1.105275
processed_data_batch_32.npz,150,150,73,77,0,0.023081,0.023082,0.000081,0.000085,1.446096,1.450159,0.043111,0.038776,0.003280,0.003274,0.000060,0.000060,139.497298,139.487949,0.329454,0.329260
processed_data_batch_33.npz,150,150,85,65,0,0.023067,0.023069,0.000100,0.000090,1.458033,1.450354,0.038996,0.047774,0.003268,0.003267,0.000063,0.000059,139.502782,139.485226,0.261765,0.278051
processed_data_batch_34.npz,150,150,92,58,0,0.023082,0.023060,0.000145,0.000199,1.452675,1.450504,0.039053,0.042769,0.003276,0.003308,0.000100,0.000430,139.468838,139.536475,0.323915,0.931002
