num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.435511,0.169922,139.259155,0.213556,139.518066,0.131962,139.284533,0.208495
20,139.477702,0.171995,139.295835,0.237995,139.534533,0.161807,139.297122,0.251191
30,139.522468,0.214623,139.342153,0.245300,139.610003,0.233048,139.389986,0.271451
40,139.562266,0.213665,139.363757,0.240580,139.629596,0.220596,139.385823,0.261949
50,139.599538,0.227912,139.398957,0.253796,139.679345,0.236263,139.442978,0.270448
60,139.610018,0.236383,139.411989,0.272666,139.670965,0.234735,139.455912,0.271109
70,139.618425,0.242898,139.413523,0.289212,139.668868,0.237452,139.448735,0.286445
80,139.622678,0.245936,139.413690,0.294925,139.655658,0.240919,139.430856,0.294035
90,139.632092,0.243728,139.423447,0.296695,139.672025,0.237229,139.452241,0.291196
100,139.633198,0.247123,139.421164,0.301422,139.650605,0.244251,139.424616,0.302802
110,139.634412,0.241301,139.422928,0.293686,139.647656,0.233603,139.421633,0.289851
120,139.624523,0.245010,139.410290,0.292664,139.644661,0.239783,139.419020,0.294257
130,139.612883,0.246961,139.395755,0.296895,139.623445,0.242699,139.394939,0.296263
140,139.602445,0.251744,139.383462,0.300390,139.619427,0.250614,139.387997,0.299844
150,139.601954,0.254703,139.381027,0.302240,139.616523,0.255890,139.381112,0.303613
