num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,140.193841,1.684153,139.851610,1.525250,139.682159,0.257680,139.331510,0.355536
20,139.958876,1.236419,139.672535,1.113839,139.732490,0.326795,139.438451,0.362711
30,139.979310,1.016780,139.718197,0.925331,139.816299,0.323841,139.561917,0.392205
40,139.909271,0.902143,139.669643,0.828382,139.772570,0.337813,139.523176,0.385311
50,139.824716,0.829433,139.574070,0.775069,139.733427,0.332177,139.477143,0.382835
60,139.802466,0.762526,139.547806,0.712527,139.732575,0.311716,139.474951,0.359526
70,139.818708,0.708766,139.565594,0.666021,139.761510,0.301576,139.509965,0.355314
80,139.845172,0.668180,139.610207,0.636104,139.789553,0.305757,139.552305,0.369577
90,139.842719,0.637232,139.617062,0.613782,139.782270,0.303952,139.549195,0.370705
100,139.826414,0.610153,139.606484,0.588233,139.772712,0.303055,139.546224,0.363066
110,139.809275,0.585441,139.596892,0.565438,139.756529,0.296446,139.531555,0.354620
120,139.798192,0.563255,139.580025,0.547659,139.747743,0.284566,139.513388,0.343290
130,139.807155,0.546105,139.584099,0.531416,139.764947,0.286849,139.524494,0.339590
140,139.825048,0.530648,139.603236,0.518020,139.785590,0.289815,139.544295,0.339146
150,139.834202,0.515373,139.614605,0.505734,139.791762,0.283883,139.553448,0.335467
